                   swedish title          norwegian title          icelandic title              translated title                 polish title         hungarian title  published
0                    trollbunden              trollbundet             álagafjötrar                    spellbound                  zauroczenie               varázslat       1982
1                      häxjakten              heksejakten              nornaveiðar              the witch - hunt      polowanie na czarownice           átkos örökség       1982
2                      avgrunden                avgrunnen                 hyldýpið                 the precipice                      otchłań               örvényben       1982
3                        längtan                  lengsel                    vonin                       longing                     tęsknota              vágyakozás       1982
4                     dödssynden               dødssynden              dauðasyndin                the mortal sin            grzech śmiertelny             halálos bűn       1982
5                 det onda arvet           den onde arven              illur arfur               the evil legacy              dziedzictwo zła         nincs menekülés       1982
6            spökslottet (novel)              spökslottet             draugahöllin              the ghost castle                 zamek duchów         kísértetkastély       1982
7                 bödelns dotter         bøddelens datter         dóttir böðulsins   the executioner 's daughter                  córka hycla          a pribék lánya       1982
8                    den ensamme              den ensomme          skuggi fortíðar                the lonely one                      samotny        a magányos lovag       1982
9                    vinterstorm              vinterstorm               vetrarhríð                  winter storm            zimowa zawierucha                 hóvihar       1983
10                    blodshämnd                 blodhevn                blóðhefnd                    blood feud                       zemsta               vérbosszú       1983
11                feber i blodet           feber i blodet                ástarfuni            fever in the blood                     gorączka          nyugtalan szív       1983
12                satans fotspår           satans fotspor           fótspor satans           footprints of satan                ślady szatana        a sátán lábnyoma       1983
13            den siste riddaren         den siste ridder        síðasti riddarinn               the last knight               ostatni rycerz           remény nélkül       1983
14             vinden från öster           vinden fra øst             austanvindar        the wind from the east             wiatr od wschodu             keleti szél       1984
15                    galgdockan            galgeblomsten              gálgablómið                  the mandrake              kwiat wisielców         a bitófa virága       1984
16               dödens trädgård              dødens have           garður dauðans           the garden of death                ogród śmierci          a halál kertje       1984
17                 bakom fasaden              bak fasaden            gríman fellur             behind the facade                  dom upiorów               maszkabál       1984
18                drakens tänder           dragens tenner           tennur drekans               dragon 's teeth                   zęby smoka      sárkányfogvetemény       1984
19                korpens vingar           ravnens vinger             hrafnsvængir            wings of the raven               skrzydła kruka  hollószárnyak suhogása       1985
20                    vargtimmen            djevlekløften               um óttubil                 the wolf hour                diabelski jar          farkasok órája       1985
21          demonen och jungfrun      demonen og jomfruen     jómfrúin og vætturin      the demon and the maiden                demon i panna         démon és angyal       1985
22                      våroffer                 våroffer                  vorfórn              spring sacrifice              wiosenna ofiara                 áldozat       1985
23                djupt i jorden            i jordens dyp           í iðrum jarðar            deep in the ground                martwe wrzosy               a mélyben       1985
24          ängel med dolda horn  engel med svarte vinger  guðsbarn eða galdranorn       angel with hidden horns  anioł o czarnych skrzydłach            álnok tündér       1985
25             huset i eldafjord        huset i eldafjord               álagahúsið        the house in eldafjord              dom w eldafjord       az eldafjordi ház       1986
26         synden har lång svans                skandalen                hneykslið           sin has a long tail                      skandal               skandalum       1986
27                    is och eld                is og ild              ís og eldur                  ice and fire                  lód i ogień             láng és jég       1986
28               lucifers kärlek      lucifers kjærlighet           ástir lúcífers               lucifer 's love              miłość lucyfera        lucifer szerelme       1986
29                människadjuret                  utysket                  ókindin               the man - beast               bestia i wilki                 a dúvad       1986
30                    färjkarlen              fergemannen            ferjumaðurinn                  the ferryman                   przewoźnik                a révész       1987
31                        hunger                   hunger                   hungur                        hunger                         głód                   éhség       1987
32                 nattens demon            nattens demon                  martröð        the demon of the night                   demon nocy   nem isten , nem ember       1987
33           kvinnan på stranden      kvinnen på stranden       konan á ströndinni        the woman on the beach            kobieta na brzegu      a tengerparti lány       1987
34            vandring i mörkret        vandring i mørket               myrkraverk        wanderings in darkness         droga w ciemnościach    vándorlás a sötétben       1987
35                     trollmåne                trollmåne              galdratungl                    magic moon             magiczny księżyc              holdvarázs       1987
36                 stad i skräck             skrekkens by                 vágestur                a town in fear               miasto strachu         a rettegő város       1987
37  små män kastar långa skuggor             skjulte spor       í skugga stríðsins  small men throw long shadows                  urwany ślad                csigaház       1988
38          rop av stumma röster     rop av stumme røster                raddirnar      screams of silent voices                  nieme głosy        hangtalan sikoly       1988
39               fångad av tiden          fanget av tiden             fangi tímans            imprisoned by time             więźniowie czasu       a múlt börtönében       1988
40              demonernas fjäll          demonenes fjell            djöflafjallið                demon mountain                 góra demonów        a démonok hegyén       1988
41           lugnet före stormen       stille før stormen             úr launsátri     the calm before the storm            cisza przed burzą      vihar előtti csend       1988
42             en glimt av ömhet       et streif av ømhet        í blíðu og stríðu       a glimpse of tenderness            odrobina czułości      a szeretet hatalma       1989
43                den onda dagen           den onde dagen               skapadægur                  the evil day                fatalny dzień              baljós nap       1989
44             legenden om marco        legenden om marco                böðullinn           the legend of marco          książę czarnych sal         marco legendája       1989
45            det svarta vattnet        det svarte vannet            svarta vatnið               the black water                     woda zła            a fekete víz       1989
46           är det någon därute      er det noen der ute     er einhver þarna úti    is there anybody out there      czy jesteśmy tutaj sami      van valaki odakint       1989
