    pick               player    position     nationality                 nhl team              college / junior / club team
0     27        radim bicanek     defence  czech republic          ottawa senators         hc dukla jihlava (czech republic)
1     28        shean donovan  right wing          canada          san jose sharks                        ottawa 67 's (ohl)
2     29           tyler moss  goaltender          canada      tampa bay lightning                 kingston frontenacs (ohl)
3     30     nikolai tsulygin     defence          russia  mighty ducks of anaheim               salavat yulaev ufa (russia)
4     31        scott langkow  goaltender          canada            winnipeg jets               portland winter hawks (whl)
5     32         jay pandolfo   left wing   united states        new jersey devils           boston university (hockey east)
6     33        david vyborny      centre  czech republic          edmonton oilers          hc sparta praha (czech republic)
7     34         lee sorochan     defence          canada         new york rangers               lethbridge hurricanes (whl)
8     35  jamie langenbrunner      centre   united states             dallas stars      cloquet high school (hs - minnesota)
9     36       janne niinimaa     defence         finland      philadelphia flyers                    oulun kärpät (finland)
10    37           maxim bets   left wing          russia           st louis blues                      spokane chiefs (whl)
11    38       denis tsygurov     defence          russia           buffalo sabres                hc lada togliatti (russia)
12    39     brendan morrison      centre          canada        new jersey devils             university of michigan (ccha)
13    40         bryan mccabe     defence          canada       new york islanders                      spokane chiefs (whl)
14    41         kevin weekes  goaltender          canada         florida panthers                  owen sound platers (ohl)
15    42    shayne toporowski  right wing          canada        los angeles kings               prince albert raiders (whl)
16    43       alexei budayev      centre          russia            winnipeg jets             kristall elektrostal (russia)
17    44        jamie allison     defence          canada           calgary flames                detroit jr red wings (ohl)
18    45     vlastimil kroupa     defence  czech republic          san jose sharks  hc chemopetrol litvinov (czech republic)
19    46          rick girard      centre          canada        vancouver canucks               swift current broncos (whl)
20    47     rory fitzpatrick     defence   united states       montreal canadiens                      sudbury wolves (ohl)
21    48     jonathan coleman     defence   united states        detroit red wings      andover academy (hs - massachusetts)
22    49    ashley buckberger  right wing          canada         quebec nordiques               swift current broncos (whl)
23    50          eric manlow      centre          canada       chicago blackhawks                   kitchener rangers (ohl)
24    51           matt alvey  right wing   united states            boston bruins              springfield olympics (nejhl)
25    52       domenic pittis      centre          canada      pittsburgh penguins               lethbridge hurricanes (whl)
