   position  jersey               name         birthdate                        birthplace                  club / team
0         g       2      jack mccartan     5 august 1935               st paul , minnesota      university of minnesota
1         g       1       larry palmer    7 january 1938            malden , massachusetts                   west point
2         d       3  jack kirrane , jr    20 august 1928         brookline , massachusetts                         none
3         d       4      john mayasich       22 may 1933               eveleth , minnesota      university of minnesota
4         d       5           bob owen       8 june 1936         st louis park , minnesota           harvard university
5         d       9        rod paavola    21 august 1939                hancock , michigan                         none
6         c      15       paul johnson       18 may 1936          west st paul , minnesota  rochester mustangs ( ushl )
7         c       8          bob mcvey     14 march 1936            hartford , connecticut           harvard university
8         c      12       tom williams     17 april 1940                duluth , minnesota                 duluth swans
9         w       6     bill christian   29 january 1938               warroad , minnesota               warroad lakers
10        w      10    roger christian   1 december 1935               warroad , minnesota               warroad lakers
11        w       7   bill cleary , jr    19 august 1934         cambridge , massachusetts           harvard university
12        w      14         bob cleary     21 april 1936         cambridge , massachusetts           harvard university
13        w      11        gene grazia      29 july 1934  west springfield , massachusetts    michigan state university
14        w      18      dick meredith  22 december 1932              south bend , indiana      university of minnesota
15        w      16        weldy olson  12 november 1932              marquette , michigan    michigan state university
16        w      17   dick rodenheiser   17 october 1932            malden , massachusetts               boston college
