    round  overall             player          position               school / club team
0       1       16       steve holden     wide receiver                    arizona state
1       1       22         pete adams             guard                              usc
2       2       30        greg pruitt      running back                         oklahoma
3       2       47        jim steinke    defensive back                      texas state
4       3       67           bob crum     defensive end                          arizona
5       4       93        andy dorris     defensive end                 new mexico state
6       4      100    randy mattingly       quarterback                       evansville
7       6      150          van green    defensive back                             shaw
8       9      228      curtis wester             guard  texas a&m university - commerce
9      10      256     tommy humphrey            center                abilene christian
10     11      281      carl barisich  defensive tackle                        princeton
11     12      306       stan simmons         tight end                    lewis & clark
12     13      334     jim romaniszyn        linebacker                         edinboro
13     14      359     robert popelka    defensive back                              smu
14     15      384      dave sullivan     wide receiver                         virginia
15     16      412  george greenfield      running back                     murray state
16     17      437    robert mcclowry            center                   michigan state
