                     opposing team  against               date                           venue      status
0                 devon & cornwall        6  14 september 1935      rectory ground , devonport  tour match
1                 midland counties        3  19 september 1935       highfield road , coventry  tour match
2           yorkshire & cumberland        3  21 september 1935         lidget green , bradford  tour match
3         abertillery & cross keys        6  25 september 1935  abertillery park , abertillery  tour match
4                          swansea       11  28 september 1935           st helen 's , swansea  tour match
5       gloucestershire & somerset        3     3 october 1935      memorial stadium , bristol  tour match
6            lancashire & cheshire        8     5 october 1935                      birkenhead  tour match
7          northumberland & durham        6     9 october 1935                        gosforth  tour match
8                south of scotland        8    12 october 1935         mansfield park , hawick  tour match
9              glasgow & edinburgh        8    16 october 1935        old anniesland , glasgow  tour match
10               combined services        5    19 october 1935                       aldershot  tour match
11                    llanelli rfc        8    22 october 1935         stradey park , llanelli  tour match
12                         cardiff        5    26 october 1935             arms park , cardiff  tour match
13                         newport        5    31 october 1935         rodney parade , newport  tour match
14                 london counties        0    2 november 1935             twickenham , london  tour match
15               oxford university        9    7 november 1935            iffley road , oxford  tour match
16              hampshire & sussex        8    9 november 1935        dean court , bournemouth  tour match
17            cambridge university        5   14 november 1935         grange road , cambridge  tour match
18  leicestershire & east midlands        3   16 november 1935        welford road , leicester  tour match
19                        scotland        8   23 november 1935         murrayfield , edinburgh  test match
20               north of scotland        6   27 november 1935   linksfield stadium , aberdeen  tour match
21                          ulster        3   30 november 1935             ravenhill , belfast  tour match
22                         ireland        9    7 december 1935         lansdowne road , dublin  test match
23                 mid - districts       10   12 december 1935                        aberdare  tour match
24                neath & abevaron        3   14 december 1935                        aberavon  tour match
25                           wales       13   21 december 1935             arms park , cardiff  test match
26                 london counties        5   26 december 1935             twickenham , london  tour match
27                         england       13     4 january 1936             twickenham , london  test match
28                       vancouver        0    25 january 1936       brocton point , vancouver  tour match
29                   victoria (bc)        3    29 january 1936       macdonald park , victoria  tour match
