     rank          nation  gold  silver  bronze  total
0       1     netherlands     4       3       4     11
1       2          canada     3       3       3      9
2       3         germany     3       0       3      6
3       4   united states     1       1       0      2
4       5  czech republic     1       0       0      1
5       6           italy     0       3       0      3
6       7     south korea     0       1       0      1
7       7          russia     0       1       0      1
8       7           china     0       1       0      1
9      10           japan     0       0       1      1
10  total           total    12      13      11     36
