                        race              circuit          date pole position  fastest lap   winning driver        constructor tyre  report
0   south african grand prix              kyalami     2 january  jack brabham  denny hulme  pedro rodríguez  cooper - maserati    f  report
1          monaco grand prix               monaco         7 may  jack brabham    jim clark      denny hulme    brabham - repco    g  report
2           dutch grand prix            zandvoort        4 june   graham hill    jim clark        jim clark       lotus - ford    f  report
3         belgian grand prix  spa - francorchamps       18 june     jim clark   dan gurney       dan gurney    eagle - weslake    g  report
4          french grand prix      le mans bugatti        2 july   graham hill  graham hill     jack brabham    brabham - repco    g  report
5         british grand prix          silverstone       15 july     jim clark  denny hulme        jim clark       lotus - ford    f  report
6          german grand prix          nürburgring      6 august     jim clark   dan gurney      denny hulme    brabham - repco    g  report
7        canadian grand prix         mosport park     27 august     jim clark    jim clark     jack brabham    brabham - repco    g  report
8         italian grand prix                monza  10 september     jim clark    jim clark     john surtees              honda    f  report
9   united states grand prix         watkins glen     1 october   graham hill  graham hill        jim clark       lotus - ford    f  report
10        mexican grand prix   hermanos rodríguez    22 october     jim clark    jim clark        jim clark       lotus - ford    f  report
