    pos              team  07 pts  08 pts  09 pts  total pts  total pld     avg
0     1          libertad      95     101      82        278        132  2.1061
1     2     cerro porteño      93      76      81        248        132  1.8788
2     3          nacional      60      77      77        214        132  1.6212
3     4           olimpia      76      54      70        200        132  1.5152
4     5          rubio ñú       0       0      63         63         44  1.4318
5     6           guaraní      41      79      67        187        132  1.4167
6     7    sol de américa      57      63      50        170        132  1.2879
7     8           tacuary      51      52      64        169        132  1.2803
8     9  sportivo luqueño      65      49      51        166        132  1.2576
9    10      3 de febrero      49      50      43        143        132  1.0833
10   11     12 de octubre      49      49      41        138        132  1.0455
