                              player     date of birth   batting style                         bowling style   first class team
0              steve waugh (captain)       2 june 1965  right hand bat                      right arm medium    new south wales
1        mark waugh (vice - captain)       2 june 1965  right hand bat  right arm medium right arm off break    new south wales
2                      michael bevan        8 may 1970   left hand bat                left arm slow chinaman    new south wales
3                     damien fleming     24 april 1970  right hand bat               right arm fast - medium           victoria
4   adam gilchrist (wicket - keeper)  14 november 1971   left hand bat                       wicket - keeper  western australia
5                     brendon julian    10 august 1970  right hand bat                left arm fast - medium  western australia
6                 michael kasprowicz  10 february 1972  right hand bat               right arm fast - medium         queensland
7                     darren lehmann   5 february 1970   left hand bat                left arm orthodox spin    south australia
8                      damien martyn   21 october 1971  right hand bat                      right arm medium  western australia
9                      glenn mcgrath   9 february 1970  right hand bat               right arm fast - medium    new south wales
10                     ricky ponting  19 december 1974  right hand bat                      right arm medium           tasmania
11                   gavin robertson       28 may 1966  right hand bat                   right arm off break    new south wales
12                    andrew symonds       9 june 1975  right hand bat  right arm medium right arm off break         queensland
13                        brad young  23 february 1973  right hand bat                left arm orthodox spin    south australia
