     res     record          opponent                             method                                           event  round                        location
0    win  6 - 4 (1)    johnathan ivey                      tko (punches)                                   pfl - genesis      2         florida , united states
1   loss  5 - 4 (1)          wes sims                                tko  hooknshoot - absolute fighting championships 1      2         florida , united states
2   loss  5 - 3 (1)        dan severn    submission (arm triangle choke)                             wef 9 - world class      1         indiana , united states
3    win  5 - 2 (1)     maurice smith    submission (arm triangle choke)                      wef 7 - stomp in the swamp      2       louisiana , united states
4    win  4 - 2 (1)     patrick smith  dq (knees on a grounded opponent)                wef 6 - world extreme fighting 6      2         florida , united states
5   loss  3 - 2 (1)  kazushi sakuraba                submission (armbar)                      ufc japan : ultimate japan      1                yokohama , japan
6     nc  3 - 1 (1)  kazushi sakuraba    no contest (premature stoppage)                      ufc japan : ultimate japan      1                yokohama , japan
7   loss      3 - 1     maurice smith                         tko (kick)                       ef 3 - extreme fighting 3      3        oklahoma , united states
8    win      3 - 0       carl franks                                tko                       ef 2 - extreme fighting 2      1      montreal , quebec , canada
9    win      2 - 0   victor tatarkin                         submission                       ef 1 - extreme fighting 1      1  north carolina , united states
10   win      1 - 0        gary myers      submission (guillotine choke)                       ef 1 - extreme fighting 1      1  north carolina , united states
