                     driver             constructor  laps    time / retired  grid
0                damon hill  jordan - mugen - honda    44       1:43:47.407     3
1           ralf schumacher  jordan - mugen - honda    44           + 0.932     8
2                jean alesi       sauber - petronas    44           + 7.240    10
3   heinz - harald frentzen   williams - mecachrome    44          + 32.243     9
4               pedro diniz                  arrows    44          + 51.682    16
5              jarno trulli         prost - peugeot    42          + 2 laps    13
6           david coulthard      mclaren - mercedes    39          + 5 laps     2
7             shinji nakano          minardi - ford    39          + 5 laps    21
8      giancarlo fisichella     benetton - playlife    26         collision     7
9        michael schumacher                 ferrari    25  collision damage     4
10             eddie irvine                 ferrari    25          spun off     5
11            esteban tuero          minardi - ford    17           gearbox    22
12       jacques villeneuve   williams - mecachrome    16          spun off     6
13        toranosuke takagi          tyrrell - ford    10          spun off    19
14           jos verstappen          stewart - ford     8            engine    17
15           mika hã¤kkinen      mclaren - mercedes     0         collision     1
16           alexander wurz     benetton - playlife     0         collision    11
17           johnny herbert       sauber - petronas     0         collision    12
18       rubens barrichello          stewart - ford     0         collision    15
19            olivier panis         prost - peugeot     0         collision    14
20                mika salo                  arrows     0         collision    18
21           ricardo rosset          tyrrell - ford     0         collision    20
