    round           player    position    nationality  college / junior / club team (league)
0       2       greg smyth     defense         canada                 london knights ( ohl )
1       2   scott mellanby  right wing         canada  henry carr secondary school (toronto)
2       2    jeff chychrun     defense         canada               kingston canadians (ohl)
3       3       dave mclay     forward         canada                  kelowna wings ( whl )
4       3     john stevens     defense         canada                  oshawa generals (ohl)
5       4     david hanson      center  united states     grand forks high school (n dakota)
6       5     brian dobbin  right wing         canada                   london knights (ohl)
7       6   john dzikowski      center         canada              brandon wheat kings (whl)
8       7        tom allen     defense         canada                kitchener rangers (ohl)
9       8      luke vitale     forward         canada  henry carr secondary school (toronto)
10      9     billy powers     forward  united states            matignon high school (mass)
11     10  daryn fersovich     forward         canada              st albert saints ( ajhl )
12     12      juraj bakos     defense       slovakia                      hc kosice (czech)
