                    ship           guns                           class                                      captain                        rank         year
0            hms manxman             80   third - rate ship of the line                   captain sir henry langford                  midshipman  1768 - 1772
1             hms gorgon             74   third - rate ship of the line                         captain beves conway                  midshipman         1772
2      hm cutter avenger  10 - 6lb guns                          cutter                      lieutenant hugh bolitho                  midshipman         1773
3    hm schooner hotspur             14                  armed schooner                   lieutenant montagu verling                  midshipman         1774
4            hms destiny             28                         frigate                       captain henry dumaresq                  lieutenant         1774
5             hms trojan             80   third - rate ship of the line                        captain gilbert pears                  lieutenant         1777
6       hm sloop sparrow             18                sloop - of - war                    commander richard bolitho  commander , junior captain  1778 - 1781
7          hms phalarope             32                         frigate                      captain richard bolitho                post captain         1782
8             hms undine             32                         frigate                      captain richard bolitho                post captain         1784
9            hms tempest             36                         frigate                      captain richard bolitho                post captain         1789
10  hm cutter telemachus             12                          cutter                       lieutenant jonas paice        captain - in - chief         1792
11  hm cutter snapdragon             12                          cutter                     lieutenant hector vatass        captain - in - chief         1792
12     hm cutter wakeful             12                          cutter                    lieutenant charles queely        captain - in - chief         1792
13          hms hyperion             74   third - rate ship of the line                      captain richard bolitho                post captain         1793
14          hms euryalus            100   first - rate ship of the line                      captain richard bolitho                post captain         1797
15          hms lysander             74   third - rate ship of the line                       captain thomas herrick                   commodore         1798
16            hms benbow             74   third - rate ship of the line                       captain thomas herrick              rear - admiral  1800 - 1801
17           hms achates             64   third - rate ship of the line                       captain valentine keen              vice - admiral         1802
18         hms argonaute             74   third - rate ship of the line                       captain valentine keen              vice - admiral         1803
19          hms hyperion             74   third - rate ship of the line  captain edmund haven captain valentine keen              vice - admiral  1804 - 1805
20         hms truculent             36                         frigate                        captain daniel poland              vice - admiral         1806
21      hms black prince             94  second - rate ship of the line                       captain valentine keen              vice - admiral  1806 - 1809
22          hms valkyrie             42                         frigate                       captain aaron trevenen              vice - admiral  1809 - 1810
23       hms indomitable             44                           razee                         captain james tyacke                     admiral  1811 - 1813
24         hms frobisher             74   third - rate ship of the line                         captain james tyacke                     admiral         1814
