     res  record             opponent                         method                                      event  round   time                                location
0    win  20 - 6       donald cerrone           decision (unanimous)     ufc fight night : condit vs kampmann 2      3   5:00  indianapolis , indiana , united states
1    win  19 - 6          evan dunham           decision (unanimous)            ufc on fx : belfort vs rockhold      3   5:00                jaraguã¡ do sul , brazil
2    win  18 - 6           mark bocek           decision (unanimous)                                    ufc 154      3   5:00              montreal , quebec , canada
3    win  17 - 6     anthony njokuani           decision (unanimous)          ufc on fuel tv : munoz vs weidman      3   5:00   san jose , california , united states
4    win  16 - 6       kamal shalorus  submission (rear naked choke)  ufc on fuel tv : korean zombie vs poirier      1   1:40      fairfax , virginia , united states
5   loss  15 - 6        gleison tibau               decision (split)                                    ufc 139      3   5:00   san jose , california , united states
6    win  15 - 5  george sotiropoulos                     ko (punch)                                    ufc 132      1   0:59      las vegas , nevada , united states
7   loss  14 - 5           clay guida        submission (jaw injury)                                    ufc 117      3   1:51    oakland , california , united states
8    win  14 - 4           terry etim            submission (armbar)                                    ufc 112      2   4:30        abu dhabi , united arab emirates
9    win  13 - 4         kyle bradley           decision (unanimous)          ufc fight night : maynard vs diaz      3   5:00      fairfax , virginia , united states
10   win  12 - 4          rob emerson           decision (unanimous)                                    ufc 103      3   5:00          dallas , texas , united states
11  loss  11 - 4        tyson griffin           decision (unanimous)       ufc fight night : condit vs kampmann      3   5:00   nashville , tennessee , united states
12  loss  11 - 3      jeremy stephens                   ko (punches)                                     ufc 91      3   0:39      las vegas , nevada , united states
13   win  11 - 2      takafumi otsuka               decision (split)                   fury fc 6 - high voltage      3   5:00                 rio de janeiro , brazil
14   win  10 - 2    takaichi hirayama            submission (armbar)                       pancrase - shining 5      1   1:25                           tokyo , japan
15   win   9 - 2        gabriel veiga           decision (unanimous)                 fury fc 5 - final conflict      3   5:00                      sao paulo , brazil
16   win   8 - 2       danilo cherman            submission (kimura)                   fury fc 4 - high voltage      2   3:38                    teresopolis , brazil
17   win   7 - 2       mauricio souza  submission (rear naked choke)                               xfc - brazil      1   6:24                 rio de janeiro , brazil
18   win   6 - 2          thiago minu  submission (rear naked choke)                               xfc - brazil      1   7:28                 rio de janeiro , brazil
19   win   5 - 2    johil de oliveira  submission (rear naked choke)                     juiz de fora - fight 4      1   2:50                   juiz de fora , brazil
20   win   4 - 2      mateus trindade           decision (unanimous)                         shooto - brazil 11      3   5:00                 rio de janeiro , brazil
21   win   3 - 2       diogo oliveira            submission (armbar)                  tfmma - top fighter mma 2      2  n / a                 rio de janeiro , brazil
22  loss   2 - 2         jorge britto               decision (split)                          arena - bh combat      3   5:00                                  brazil
23   win   2 - 1      felipe arinelli                      tko (cut)                     juiz de fora - fight 2      2  n / a                                  brazil
24   win   1 - 1           joao paulo                       decision                                 arena - bh  n / a  n / a                   minas gerais , brazil
25  loss   0 - 1          adriano abu               decision (split)                     juiz de fora - fight 1      3   5:00                   juiz de fora , brazil
