    year          award                                category       type                               title
0   2013    bafta award                              best sound  nominated                    django unchained
1   2009  academy award                       best sound mixing  nominated                inglourious basterds
2   2007  academy award                       best sound mixing        won                the bourne ultimatum
3   2006  academy award                       best sound mixing        won                          dreamgirls
4   2006    bafta award                              best sound  nominated                               babel
5   2006    bafta award                              best sound  nominated                               crash
6   2005    bafta award                              best sound  nominated                          collateral
7   2004    bafta award                              best sound  nominated                   kill bill : vol 1
8   2003    bafta award                              best sound        won                             chicago
9   2002  academy award                              best sound        won                             chicago
10  2002    bafta award                              best sound  nominated                     black hawk down
11  2001  academy award                              best sound        won                     black hawk down
12  2000  academy award                              best sound        won                           gladiator
13  1998  academy award                              best sound        won                 saving private ryan
14  1997  academy award                              best sound  nominated                     la confidential
15  1996  academy award                              best sound  nominated                               evita
16  1995  academy award                              best sound        won                           apollo 13
17  1995  academy award                              best sound  nominated                          braveheart
18  1994  academy award                              best sound  nominated                 legends of the fall
19  1994  academy award                              best sound        won                               speed
20  1993  academy award                              best sound  nominated                   schindler 's list
21  1992  academy award                              best sound        won            the last of the mohicans
22  1990  academy award                              best sound  nominated                          dick tracy
23  1988  academy award                              best sound  nominated             who framed roger rabbit
24  1987  academy award                              best sound  nominated                   empire of the sun
25  1985  academy award                              best sound        won                       out of africa
26  1982  academy award                              best sound        won          et the extra - terrestrial
27  1979  academy award                              best sound  nominated                                1941
28  1978  academy award                              best sound  nominated                              hooper
29  1977  academy award                              best sound  nominated                            sorcerer
30  1977  academy award                              best sound  nominated  close encounters of the third kind
31  1976  academy award                              best sound  nominated                      a star is born
32  1973  academy award                              best sound        won                        the exorcist
33  1972  academy award                              best sound        won                             cabaret
34  1965  academy award                              best sound        won                  the sound of music
35  1963  academy award                              best sound  nominated                           cleopatra
36  1961  academy award                              best sound        won                     west side story
37  1960  academy award                              best sound        won                           the alamo
38  1959  academy award                              best sound  nominated                      porgy and bess
39  1958  academy award                              best sound        won                       south pacific
40  1957  academy award  academy scientific and technical award        won                    todd - ao system
41  1955  academy award                    best sound recording        won                            oklahoma
