                   candidate            party                constituency           year    days
0               alfred dobbs           labour                   smethwick           1945     1 1
1            john sunderland           labour                     preston           1945   122 1
2             john whittaker           labour       heywood and radcliffe           1945   137 1
3              philip clarke        sinn féin  fermanagh and south tyrone           1955  152 3x
4            thomas mitchell        sinn féin                mid - ulster           1955  152 3x
5                 harry west  ulster unionist  fermanagh and south tyrone  february 1974   224 2
6             michael ancram     conservative    berwick and east lothian  february 1974  224 2a
7            barry henderson     conservative         east dunbartonshire  february 1974  224 2a
8                 paul tyler          liberal                      bodmin  february 1974  224 2a
9         michael winstanley          liberal                 hazel grove  february 1974  224 2b
10  james godfrey macmanaway  ulster unionist                belfast west           1950   238 3
11            judith chaplin     conservative                     newbury           1992   316 1
12                 peter law      independent               blaenau gwent           2005   355 1
