   rank        country  1st place  2nd place  3rd place  total
0     1         russia          3          1          1      5
1     2   soviet union          2          0          0      2
2     3  united states          1          2          0      3
3     4        ukraine          1          1          1      3
4     5        armenia          1          0          3      4
5     6          china          0          2          0      2
6     7        hungary          0          1          0      1
7     7     yugoslavia          0          1          0      1
8     9        england          0          0          2      2
9    10          india          0          0          1      1
