    pick             player    position    nationality                 nhl team                 college / junior / club team
0    209      toby kvalevog  goaltender  united states          ottawa senators         bemidji high school (hs - minnesota)
1    210     jonas forsberg  goaltender         sweden          san jose sharks            djurgardens if stockholm (sweden)
2    211  alexandre laporte     defence         canada      tampa bay lightning                 victoriaville tigers (qmjhl)
3    212       vitali kozel   left wing        belarus  mighty ducks of anaheim                              novops (russia)
4    213        chad cabana   left wing         canada         florida panthers                   tri - city americans (whl)
5    214     dmitri gorenko     forward         russia         hartford whalers                         cska moscow (russia)
6    215        brad norton     defence  united states          edmonton oilers         cushing academy (hs - massachusetts)
7    216        ken shepard  goaltender         canada         new york rangers                        oshawa generals (ohl)
8    217   vladimir potapov   left wing         russia            winnipeg jets                 kristall elektostal (russia)
9    218        tripp tracy  goaltender  united states      philadelphia flyers                    harvard university (ncaa)
10   219         mike grier  right wing  united states           st louis blues  st sebastian 's school (hs - massachusetts)
11   220       barrie moore   left wing         canada           buffalo sabres                         sudbury wolves (ohl)
12   221       judd lambert  goaltender         canada        new jersey devils                    chilliwack chiefs (bcjhl)
13   222   daniel johansson     defence         sweden       new york islanders                     rögle angelholm (sweden)
14   223    ilya stashenkov     defence         russia            winnipeg jets                      krylja sovetov (russia)
15   224      martin strbak     defence       slovakia        los angeles kings                     prešov vtj hk (slovakia)
16   225      jason gladney     defence         canada      washington capitals                      kitchener rangers (ohl)
17   226        e j bradley      centre  united states      philadelphia flyers           tabor academy (hs - massachusetts)
18   227      pavol demitra      centre       slovakia          ottawa senators                     dukla trenčín (slovakia)
19   228   harijs vitolinsh      centre         latvia            winnipeg jets                       ehc chur (switzerland)
20   229     alex duschesne     forward         canada       montreal canadiens             drummondville voltigeurs (qmjhl)
21   230      ryan shanahan  right wing  united states        detroit red wings                         sudbury wolves (ohl)
22   231      vincent auger     forward         canada         quebec nordiques                    hawkesbury hawks ( cjhl )
23   232          mike rusk     defence         canada       chicago blackhawks                           guelph storm (ohl)
24   233         joel prpic      centre         canada            boston bruins                  waterloo black hawks (ushl)
25   234       tim harberts      centre  united states      pittsburgh penguins         wayzata high school (hs - minnesota)
