    pick              player    position     nationality                 nhl team            college / junior / club team
0     27      rhett warrener     defence          canada         florida panthers                  saskatoon blades (whl)
1     28     johan davidsson   left wing          sweden  mighty ducks of anaheim                           hv71 (sweden)
2     29    stanislav neckar     defence  czech republic          ottawa senators  hc české budějovice ( czech republic )
3     30         deron quint     defence   united states            winnipeg jets              seattle thunderbirds (whl)
4     31      jason podollan  right wing          canada         florida panthers                    spokane chiefs (whl)
5     32           mike watt   left wing          canada          edmonton oilers             stratford cullitons (mojhl)
6     33        matt johnson   left wing          canada        los angeles kings                peterborough petes (ohl)
7     34      colin cloutier      centre          canada      tampa bay lightning               brandon wheat kings (whl)
8     35         josef marha      centre  czech republic         quebec nordiques          dukla jihlava (czech republic)
9     36        ryan johnson      centre          canada         florida panthers               thunder bay flyers (ushl)
10    37       angel nikolov     defence          russia          san jose sharks            hc litvínov (czech republic)
11    38       jason holland     defence          canada       new york islanders                  kamloops blazers (whl)
12    39         robb gordon      centre          canada        vancouver canucks              powell river kings (bcjhl)
13    40  jean - yves leroux   left wing          canada       chicago blackhawks               beauport harfangs (qmjhl)
14    41       scott cherrey   left wing          canada      washington capitals             north bay centennials (ohl)
15    42      dave scatchard      centre          canada        vancouver canucks             portland winter hawks (whl)
16    43        curtis brown      center          canada           buffalo sabres                moose jaw warriors (whl)
17    44       jose theodore  goaltender          canada       montreal canadiens               saint - jean lynx (qmjhl)
18    45    dimitri riabykin     defence          russia           calgary flames                  moscow dynamo (russia)
19    46          lee jinman      centre          canada             dallas stars             north bay centennials (ohl)
20    47       daniel goneau   left wing          canada            boston bruins                     laval titan (qmjhl)
21    48       sean haggerty   left wing   united states      toronto maple leafs          detroit junior red wings (ohl)
22    49  mathieu dandenault  right wing          canada        detroit red wings              sherbrooke faucons (qmjhl)
23    50        richard park      centre   united states      pittsburgh penguins                  belleville bulls (ohl)
24    51        patrik elias   left wing  czech republic        new jersey devils              hc kladno (czech republic)
25    52       rudolf vercik   left wing        slovakia         new york rangers       hc slovan bratislava ( slovakia )
