                              school      location  enrolment  founded          denomination  boys / girls  day / boarding              school colors
0                    dominic college     glenorchy        625     1973              catholic  boys & girls             day              maroon & gold
1                   the fahan school     sandy bay        370     1935  non - denominational         girls             day      orange , white & blue
2                the friends' school  north hobart       1300     1887                quaker  boys & girls  day & boarding          blue , red & grey
3             guilford young college        hobart       1000     1995              catholic  boys & girls             day          blue , gold & red
4                the hutchins school     sandy bay       1000     1846              anglican          boys  day & boarding     magenta , black & gold
5   launceston church grammar school    launceston        770     1846              anglican  boys & girls             day       blue , black & white
6                  mackillop college    mornington        560     1994              catholic  boys & girls             day               navy and red
7            marist regional college        burnie        900     1972              catholic  boys & girls             day        navy and light blue
8   mount carmel college , sandy bay     sandy bay        540     1942              catholic         girls             day      navy , gold and white
9               sacred heart college      new town       1142     1888              catholic  boys & girls             day          red , blue &white
10         st brendan - shaw college     devonport        639     1981              catholic  boys & girls             day             navy and green
11                st mary 's college        hobart        770     1868              catholic         girls             day  green , pale blue & brown
12   st michael 's collegiate school        hobart        900     1892              anglican         girls             day             maroon & cream
13             st patrick 's college    launceston       1200     1938              catholic  boys & girls             day             green and gold
14              st virgil 's college        hobart        650     1911              catholic          boys             day  royal blue , green & gold
15            scotch oakburn college    launceston       1100     1979               uniting  boys & girls  day & boarding       blue , gold & maroon
