                name       career  matches   overs  maidens   runs  wickets  average     best
0        shane warne  1992 - 2007      145  6784.1     1762  17995      708    25.42   8 / 71
1      glenn mcgrath  1993 - 2007      124  4874.4     1470  12186      563    21.64   8 / 24
2      dennis lillee  1971 - 1984       70  2834.1      652   8493      355    23.92   7 / 83
3          brett lee  1999 - 2010       76  2755.1      547   9555      310    30.82   5 / 30
4    craig mcdermott  1984 - 1996       71  2764.2      583   8332      291    28.63   8 / 97
5    jason gillespie  1996 - 2006       71  2372.2      630   6770      259    26.14   7 / 37
6      richie benaud  1952 - 1964       63  2727.2      805   6704      248    27.03   7 / 72
7    graham mckenzie  1961 - 1971       60  2629.5      547   7328      246    29.79   8 / 71
8       ray lindwall  1946 - 1960       61  1970.2      419   5251      228    23.03   7 / 38
9   clarrie grimmett  1925 - 1936       37  2408.3      736   5231      216    24.22   7 / 40
10       merv hughes  1985 - 1994       53  2047.3      499   6017      212    28.38   8 / 87
11    stuart macgill  1998 - 2008       44  1872.5      365   6037      208    29.02  8 / 108
12  mitchell johnson       2007 -       50  1870.0      331   6281      205    30.64   8 / 61
13      jeff thomson  1972 - 1985       51  1589.3      300   5601      200    29.01   6 / 46
