     res      record                  opponent                             method  round   time                location
0   draw  21 - 8 - 1          masakatsu funaki                    draw (majority)      1  15:00           tokyo , japan
1    win      21 - 8       zaza tkeshelashvili               submission (armlock)      1  n / a     vilnius , lithuania
2    win      20 - 8            andrei kopylov               decision (unanimous)      2   5:00   ekaterinburg , russia
3   loss      19 - 8  antãnio rodrigo nogueira               decision (unanimous)      2   5:00           tokyo , japan
4    win      19 - 7             bobby hoffman               decision (unanimous)      3   5:00           osaka , japan
5    win      18 - 7               lee hasdell                      tko (punches)      2   0:08           osaka , japan
6    win      17 - 7       zaza tkeshelashvili      submission (guillotine choke)      1  15:46           tula , russia
7    win      16 - 7        branden lee hinkle  submission (arm - triangle choke)      1   8:11           tokyo , japan
8    win      15 - 7            cvetko cvetkov         submission (achilles lock)      1  n / a           tula , russia
9    win      14 - 7         yasuhito namekawa               decision (unanimous)      3   5:00  yekaterinburg , russia
10  loss      13 - 7       zaza tkeshelashvili                                 ko      1   7:08       georgia (country)
11  loss      13 - 6       zaza tkeshelashvili               decision (unanimous)      3  10:00                   japan
12   win      13 - 5           masayuki naruse                submission (armbar)      1   4:26                   japan
13   win      12 - 5             nikolai zuyev  submission (arm - triangle choke)      1   4:49                   japan
14  loss      11 - 5          tsuyoshi kohsaka                submission (injury)      1  10:10           tokyo , japan
15  loss      11 - 4               akira maeda                submission (verbal)      1   4:24                   n / a
16  loss      11 - 3          mikhail ilyukhin                              n / a  n / a  n / a                   n / a
17   win      11 - 2                 dick vrij                              n / a  n / a  n / a                   n / a
18   win      10 - 2            andrei kopylov               submission (armlock)      1  10:52                   japan
19  loss       9 - 2            kiyoshi tamura                submission (armbar)      1  12:48                   japan
20   win       9 - 1               akira maeda               submission (kneebar)      1   8:47                   japan
21   win       8 - 1            kiyoshi tamura                              n / a  n / a  n / a           tokyo , japan
22   win       7 - 1            kiyoshi tamura                              n / a  n / a  n / a                   n / a
23   win       6 - 1           tariel bitsadze                              n / a  n / a  n / a                   n / a
24   win       5 - 1          tsuyoshi kohsaka                              n / a  n / a  n / a                   n / a
25   win       4 - 1           masayuki naruse                              n / a  n / a  n / a                   n / a
26   win       3 - 1          tsuyoshi kohsaka                submission (armbar)      1  13:52                   japan
27  loss       2 - 1               hans nijman                                tko  n / a  n / a           tokyo , japan
28   win       2 - 0                 peter ura                              n / a  n / a  n / a                   n / a
29   win       1 - 0               akira maeda                         submission  n / a  n / a           tokyo , japan
