       date                                       cover model      centerfold model       20 questions                                       pictorials
0    1 - 01                                   gabrielle reece        irina voronina          carol alt                                  gabrielle reece
1    2 - 01                                 anna nicole smith  lauren michelle hill          sela ward              anna nicole smith , surfer amy cobb
2    3 - 01                                         kylie bax       miriam gonzalez        traci lords                        kylie bax , girls of golf
3    4 - 01                                    irina voronina         katie lohmann        wyclef jean              girls of hard rock hotel and casino
4    5 - 01                                      brooke burke         crista nicole   mariska hargitay  brooke burke , temptation island 's lola corwin
5    6 - 01                                   brande roderick        heather spytek       edward burns              brande roderick - pmoy , naked news
6    7 - 01                                   pamela anderson   kimberley stanfield   johnny knoxville               pamela anderson , ginger harrisson
7    8 - 01                                  belinda carlisle      jennifer walcott       jon bon jovi            belinda carlisle , girls of bada bing
8    9 - 01                                     jerri manthey         dalene kurtis      stanley tucci                     jerri manthey , sascha knopf
9   10 - 01  julia schultz , stephanie heinrich , nicole lenz    stephanie heinrich  marg helgenberger                      girls of sec , leilani rios
10  11 - 01                                  angelica bridges         lindsey vuolo       will ferrell                                 angelica bridges
11  12 - 01                                    gena lee nolin        shanna moakler     catherine bell                      gena lee nolin , bebe buell
