    series  season                title            director            writer (s)              airdate
0      464       1          lyle 's kid    bernard mceveety  calvin clements , sr  september 23 , 1968
1      465       2     the hide cutters    bernard mceveety            jack turly  september 30 , 1968
2      466       3               zavala    vincent mceveety           paul savage     october 7 , 1968
3      467       4         uncle finney    bernard mceveety  calvin clements , sr    october 14 , 1968
4      468       5               slocum            leo penn            ron bishop    october 21 , 1968
5      469       6           o'quillian           john rich            ron bishop    october 28 , 1968
6      470       7        9:12 to dodge    marvin j chomsky          preston wood   november 11 , 1968
7      471       8               abelia    vincent mceveety  calvin clements , sr   november 18 , 1968
8      472       9            railroad!      marvin chomsky           arthur rowe   november 25 , 1968
9      473      10      the miracle man    bernard mceveety  calvin clements , sr    december 2 , 1968
10     474      11                 waco       robert totten            ron bishop    december 9 , 1968
11     475      12                 lobo    bernard mceveety            jim byrnes   december 16 , 1968
12     476      13         johnny cross  herschel daugherty  calvin clements , sr   december 23 , 1968
13     477      14      the money store    vincent mceveety         william blinn   december 30 , 1968
14     479      16  time of the jackals    vincent mceveety       richard fielder    january 13 , 1969
15     480      17               mannon       robert butler            ron bishop    january 20 , 1969
16     481      18             goldtown    gunnar hellstrom  calvin clements , sr    january 27 , 1969
17     482      19     the mark of cain    vincent mceveety            ron bishop    february 3 , 1969
18     483      20             reprisal    bernard mceveety             jack hawn   february 10 , 1969
19     484      21       the long night           john rich             dick carr   february 17 , 1969
20     485      22     the night riders      irving j moore  calvin clements , sr   february 24 , 1969
21     486      23         the intruder    vincent mceveety            jim byrnes       march 3 , 1969
22     487      24  the good samaritans    bernard mceveety           paul savage      march 10 , 1969
23     488      25         the prisoner            leo penn  calvin clements , sr      march 17 , 1969
