   round                              race         circuit         date        event                         winning driver
0      1       int adac - preis hockenheim  hockenheimring     27 april  sprint race          laurent aiello laurent aiello
1      2            bergischer löwe zolder          zolder       11 may  sprint race  joachim winkelhock joachim winkelhock
2      3                   75. eifelrennen     nürburgring       25 may  sprint race          laurent aiello laurent aiello
3      4  70. geburstags des sachsenringen     sachsenring      15 june  sprint race          johnny cecotto johnny cecotto
4      5     55. int adac norisring rennen       norisring      29 june  sprint race  joachim winkelhock joachim winkelhock
5      6                     adac wunstorf        wunstorf      13 july  sprint race          laurent aiello laurent aiello
6      7    int adac preis von zweibrücken     zweibrücken    10 august  sprint race          laurent aiello emanuele pirro
7      8             int adac alpentrophäe    salzburgring    24 august  sprint race          laurent aiello laurent aiello
8      9  int adac - preis regio ring lahr    regio - ring  7 september  sprint race      johnny cecotto joachim winkelhock
9     10     24. adac bilstein supersprint     nürburgring    5 october  sprint race          laurent aiello laurent aiello
