   district                      incumbent       party  elected               status
0       1st                 marty williams  republican     1995  defeated in primary
1       6th                    nick rerras  republican     1999             defeated
2       9th               benjamin lambert  democratic     1985  defeated in primary
3      11th                 stephen martin  republican     1994            reelected
4      13th                    fred quayle  republican     1991            reelected
5      14th                  harry blevins  republican     2001            reelected
6      15th                     frank ruff  republican     1999            reelected
7      16th                henry marsh iii  democratic     1991            reelected
8      17th                      edd houck  democratic     1983            reelected
9      19th                charles hawkins  republican     1991              retired
10     20th                roscoe reynolds  democratic     1996            reelected
11     22nd                   brandon bell  republican     1991  defeated in primary
12     24th                  emmett hanger  republican     1995            reelected
13     26th                 mark obenshain  republican     2003            reelected
14     27th                     russ potts  republican     1991              retired
15     28th                john chichester  republican     1977              retired
16     29th                   chuck colgan  democratic     1975            reelected
17     31st          mary margaret whipple  democratic     1995            reelected
18     33rd                   mark herring  democratic     2006            reelected
19     34th  jeannemarie devolites - davis  republican     2003             defeated
20     35th                    dick saslaw  democratic     1980            reelected
21     37th                 ken cuccinelli  republican     2001            reelected
22     39th                    jay o'brien  republican     2002             defeated
