    no in series  no in season                           title       directed by                                   written by    original air date  us viewers (millions)
0            110             1        mr monk 's favorite show      randall zisk                               jack bernstein      august 7 , 2009                   5.14
1            111             2     mr monk and the foreign man    david grossman          david breckman and justin brenneman     august 14 , 2009                   5.31
2            112             3             mr monk and the ufo       kevin hooks                               michael angeli     august 21 , 2009                   5.16
3            113             4         mr monk is someone else      randall zisk                               salvatore savo     august 28 , 2009                   4.98
4            114             5         mr monk takes the stand    mary lou belli                 josh siegal and dylan morgan  september 11 , 2009                   4.82
5            115             6          mr monk and the critic      jerry levine                                    hy conrad  september 18 , 2009                   4.88
6            116             7    mr monk and the voodoo curse  andrei belgrader                                   joe toplyn  september 25 , 2009                   4.74
7            117             8   mr monk goes to group therapy     anton cropper                                  joe ventura     october 9 , 2009                   4.37
8            118             9        happy birthday , mr monk  tawnia mckiernan                                   peter wolk    october 16 , 2009                   3.98
9            119            10             mr monk and sharona      randall zisk                               tom scharpling    october 23 , 2009                   5.42
10           120            11             mr monk and the dog    david breckman                                beth armogida    october 30 , 2009                   4.69
11           121            12            mr monk goes camping      joe pennella                    tom gammill and max pross    november 6 , 2009                   4.27
12           122            13         mr monk is the best man   michael zinberg  joe toplyn , josh siegal , and dylan morgan   november 13 , 2009                   4.39
13           123            14           mr monk and the badge      dean parisot                 hy conrad and tom scharpling   november 20 , 2009                   5.30
14           124            15  mr monk and the end (part one)      randall zisk                                andy breckman   november 27 , 2009                   5.82
