    season           oberbayern            niederbayern             schwaben         mittelfranken
0     1998  tsv 1860 münchen ii  sv schalding - heining           bc aichach        jahn forchheim
1     1999   tsv 1860 rosenheim          spvgg landshut          fc augsburg       sg quelle fürth
2     2000          fc ismaning          sv riedelhütte     tsv rain am lech  fsv erlangen - bruck
3     2001  fc bayern munich ii          spvgg landshut      fc gundelfingen    1. fc nuremberg ii
4     2002  fc bayern munich ii          spvgg landshut          fc augsburg     greuther fürth ii
5     2003  tsv 1860 münchen ii  sv schalding - heining         tsv aindling          asv zirndorf
6     2004   spvgg u'haching ii          spvgg landshut          fc augsburg       sc 04 schwabach
7     2005     fc ingolstadt 04      1. fc bad kötzting          fc augsburg       sc 04 schwabach
8     2006     fc ingolstadt 04          spvgg landshut      tsg thannhausen    1. fc nuremberg ii
9     2007     fc ingolstadt 04  sv schalding - heining  tsv 1861 nördlingen      sv seligenporten
10    2008   spvgg unterhaching          spvgg landshut      1. fc sonthofen          asv neumarkt
11    2009   spvgg unterhaching  sv schalding - heining         tsv aindling         sc eltersdorf
