     res      record           opponent                                       method                                    event  round  time                                  location
0   loss  12 - 5 (1)    anthony johnson                              tko (head kick)                     xtreme fight night 9      2  4:22          tulsa , oklahoma , united states
1   loss  12 - 4 (1)      matt thompson                         submission (kneebar)                                   xko 15      1  4:16         arlington , texas , united states
2    win  12 - 3 (1)       matt horwich                         decision (unanimous)    shark fights 17: horwich vs rosholt 2      3  5:00            frisco , texas , united states
3     nc  11 - 3 (1)           john ott                    no contest (illegal knee)          titan fighting championships 18      3  4:23      kansas city , kansas , united states
4    win      11 - 3     john malbrough            submission (arm - triangle choke)               cowboy mma : caged cowboys      1  1:42     ponca city , oklahoma , united states
5    win      10 - 3   brandon mcdowell                                tko (punches)                    back alley promotions      1  1:36         arlington , texas , united states
6    win       9 - 3        john bryant    technical submission (rear - naked choke)                              bellator 37      1  1:02         concho , oklahoma , united states
7    win       8 - 3         josh smidt                submission (guillotine choke)                     c3 fights : slamfest      1  1:41        newkirk , oklahoma , united states
8   loss       7 - 3       matt horwich                                tko (punches)  xtreme fight night : rosholt vs horwich      3  2:56          tulsa , oklahoma , united states
9    win       7 - 2       rudy lindsey              submission (rear - naked choke)                      xfl : march badness      1  2:37          tulsa , oklahoma , united states
10  loss       6 - 2      kendall grove                  submission (triangle choke)                                  ufc 106      1  3:59        las vegas , nevada , united states
11   win       6 - 1        chris leben  technical submission (arm - triangle choke)                                  ufc 102      3  1:30         portland , oregon , united states
12  loss       5 - 1         dan miller                submission (guillotine choke)     ufc fight night : lauzon vs stephens      1  1:03           tampa , florida , united states
13   win       5 - 0   nissen osterneck                                tko (punches)                                   wec 36      2  3:48       hollywood , florida , united states
14   win       4 - 0           chad jay                                tko (punches)                   xtreme fighting league      3  2:37          tulsa , oklahoma , united states
15   win       3 - 0     jeremiah caves                                tko (punches)                        hrp : fight night      1  1:42          tulsa , oklahoma , united states
16   win       2 - 0  christopher clark                                tko (punches)                   masters of the cage 16      3  2:37  oklahoma city , oklahoma , united states
17   win       1 - 0       dusty miller                submission (guillotine choke)                   masters of the cage 15      1  3:40  oklahoma city , oklahoma , united states
