    year                       amiga demo                                  pc demo                        c64 demo                                amiga intro                                   pc intro
0   1991               odyssey (alcatraz)                                    n / a               brutality (light)                                      n / a                                      n / a
1   1992  state of the art ( spaceballs )                    facts of life (witan)           coma light 8 (oxyron)                    tetris ( melon dezign )                                      n / a
2   1993                 origin (complex)                          untitled (dust)           tower power (camelot)               chaosland ( virtual dreams )                           cyboman (gazebo)
3   1994              nexus 7 (andromeda)           project angel (impact studios)          access denied (reflex)                       4k0 (polka brothers)                        cyboman 2 (complex)
4   1995                    closer (cncd)                      caero (plant & emf)            mathematica (reflex)           creep (artwork & polka brothers)          lasse reinbong (cubic team & een)
5   1996                   shaft 7 (bomb)         alto knallo (free electric band)                   nine (reflex)                         phongfree (oxyron)                           deesbab (orange)
6   1997   my kingdom (haujobb & scoopex)           tribes ( pulse & melon dezign)  second reality (smash designs)                 superautodrome ( scoopex )                  stash ( the black lotus )
7   1998                alien 2 (scoopex)                             moai (nomad)      triage iii (smash designs)                            1000% (scoopex)                  alien sex clone ( fudge )
8   1999             concrete (ephidrena)  non - 3d : melrose space ( threestate )    y2k (duck & cover) (no name)            nonstop ( dual crew - shining )                     fukwit daddy (haujobb)
9   1999             concrete (ephidrena)               3d : kasparov (elitegroup)    y2k (duck & cover) (no name)            nonstop ( dual crew - shining )                     fukwit daddy (haujobb)
10  2000          megademo 2000 (haujobb)                  love creation max (inf)            starburst 96 (padua)                              qrid (nature)        fr - 08: the product ( farbrausch )
11  year                    combined demo                            combined demo                        c64 demo                         combined 64k intro                         combined 64k intro
12  2001               elements (haujobb)                       elements (haujobb)    decade 100 % (smash designs)  fr - 014: garbage collection (farbrausch)  fr - 014: garbage collection (farbrausch)
