      member state  population millions  meps  inhabitants per mep  influence
0          austria                 8.27    17               486235       1.71
1          belgium                10.51    22               477773       1.74
2         bulgaria                 7.72    17               454059       1.83
3           cyprus                 0.77     6               127667       6.52
4   czech republic                10.25    22               465955       1.79
5          denmark                 5.43    13               417538       1.99
6          estonia                 1.34     6               224000       3.72
7          finland                 5.26    13               404308       2.06
8           france                62.89    72               873417       0.95
9          germany                82.43    99               832606       1.00
10          greece                11.13    22               505682       1.65
11         hungary                10.08    22               458045       1.82
12         ireland                 4.21    12               350750       2.37
13           italy                58.75    72               816000       1.02
14          latvia                 2.30     8               286875       2.90
15       lithuania                 3.40    12               283583       2.94
16      luxembourg                 0.46     6                76667      10.86
17           malta                 0.40     5                80800      10.30
18     netherlands                16.33    25               653360       1.27
19          poland                38.16    50               763140       1.09
20        portugal                10.57    22               480455       1.73
21         romania                21.61    33               654848       1.27
22        slovakia                 5.39    13               414538       2.01
23        slovenia                 2.00     7               286143       2.91
24           spain                43.76    50               875160       0.95
25          sweden                 9.05    18               502667       1.66
26  united kingdom                60.64    72               839194       0.99
