   result  record                            method                                     event  round                 location
0    loss  9 - 10            tko (referee stoppage)     k - 1 world grand prix 2008 in hawaii      1  honolulu , hawaii , usa
1     win   9 - 9                  ko (right punch)             k - 1 premium 2007 dynamite!!      2            osaka , japan
2    loss   8 - 9              ko (right high kick)  k - 1 world grand prix 2007 in hong kong      2                hong kong
3    loss   8 - 8                  tko (arm injury)             k - 1 premium 2006 dynamite!!      2            osaka , japan
4     win   8 - 7             tko (corner stoppage)                                    heat 2      2            aichi , japan
5     win   7 - 7                      ko (punches)                    xplosion superfight 14      3       sydney , australia
6     win   6 - 7             tko (corner stoppage)         bushido europe : rotterdam rumble      2  rotterdam , netherlands
7    loss   5 - 7             tko (doctor stoppage)                       k - 1 survival 2002      2           toyama , japan
8    loss   5 - 6                         ko (knee)                        k - 1 burning 2002      1        hiroshima , japan
9    loss   5 - 5                   ko (right knee)         k - 1 world grand prix 2001 final      2            tokyo , japan
10    win   5 - 4  extra round decision (unanimous)   k - 1 andy memorial 2001 japan gp final      4          saitama , japan
11    win   4 - 4               ko (right low kick)   k - 1 andy memorial 2001 japan gp final      1          saitama , japan
12    win   3 - 4               ko (right low kick)   k - 1 andy memorial 2001 japan gp final      1          saitama , japan
13    win   2 - 4               ko (right low kick)                     k - 1 gladiators 2001      3         yokohama , japan
14   loss   1 - 4              decision (unanimous)    k - 1 world grand prix 2000 in fukuoka      3           nagoya , japan
15   loss   1 - 3                    ko (left hook)     k - 1 world grand prix 2000 in nagoya      1           nagoya , japan
16    win   1 - 2               ko (right low kick)     k - 1 world grand prix 2000 in nagoya      1           nagoya , japan
17   loss   0 - 1                        ko (punch)                           k - 1 dream '98      2           nagoya , japan
