                                     tie no                                home team                                    score                                away team                               attendance
0                                         1                             chester city                                    0 - 2                                  wrexham                          5 december 1997
1                                         2                              bournemouth                                    3 - 1                             bristol city                          7 december 1997
2                                         3                        preston north end                                    2 - 2                             notts county                          6 december 1997
3                                    replay                             notts county                                    1 - 2                        preston north end                         16 december 1997
4                                         4                             wisbech town                                    0 - 2                           bristol rovers                          6 december 1997
5                                         5                             grimsby town                                    2 - 2                             chesterfield                          6 december 1997
6                                    replay                             chesterfield                                    0 - 2                             grimsby town                         16 december 1997
7                                         6                        macclesfield town                                    0 - 7                                  walsall                          6 december 1997
8                                         7                             lincoln city                                    2 - 2                                    emley                          6 december 1997
9                                    replay                                    emley                                    3 - 3                             lincoln city                         17 december 1997
10             emley won 4 - 3 on penalties             emley won 4 - 3 on penalties             emley won 4 - 3 on penalties             emley won 4 - 3 on penalties             emley won 4 - 3 on penalties
11                                        8                          hednesford town                                    0 - 1                               darlington                          6 december 1997
12                                        9                                   fulham                                    1 - 0                          southend united                          6 december 1997
13                                       10                         northampton town                                    1 - 1                         basingstoke town                          6 december 1997
14                                   replay                         basingstoke town                                    0 - 0                         northampton town                         16 december 1997
15  northampton town won 4 - 3 on penalties  northampton town won 4 - 3 on penalties  northampton town won 4 - 3 on penalties  northampton town won 4 - 3 on penalties  northampton town won 4 - 3 on penalties
16                                       11                          oldham athletic                                    2 - 1                                blackpool                          6 december 1997
17                                       12                        scunthorpe united                                    1 - 1                            ilkeston town                          6 december 1997
18                                   replay                            ilkeston town                                    1 - 2                        scunthorpe united                         17 december 1997
19                                       13                             cardiff city                                    3 - 1                                   hendon                          6 december 1997
20                                       14                          cheltenham town                                    1 - 1                             boreham wood                          6 december 1997
21                                   replay                             boreham wood                                    0 - 2                          cheltenham town                         16 december 1997
22                                       15                           torquay united                                    1 - 1                                  watford                          6 december 1997
23                                   replay                                  watford                                    2 - 1                           torquay united                         16 december 1997
24                                       16                         rotherham united                                    6 - 0                             king 's lynn                          6 december 1997
25                                       17                           wigan athletic                                    2 - 1                                york city                          6 december 1997
26                                       18                      peterborough united                                    3 - 2                     dagenham & redbridge                          6 december 1997
27                                       19                        colchester united                                    1 - 1                          hereford united                          6 december 1997
28                                   replay                          hereford united                                    1 - 1                        colchester united                         16 december 1997
29   hereford united won 5 - 4 on penalties   hereford united won 5 - 4 on penalties   hereford united won 5 - 4 on penalties   hereford united won 5 - 4 on penalties   hereford united won 5 - 4 on penalties
30                                       20                         cambridge united                                    1 - 1                        stevenage borough                          6 december 1997
31                                   replay                        stevenage borough                                    2 - 1                         cambridge united                         15 december 1997
