                      tournament                     1990                     1991                     1992                     1993                     1994                     1995                     1996                     1997                     1998                     1999                     2000                     2001                career sr        career win - loss
0                    grand slams              grand slams              grand slams              grand slams              grand slams              grand slams              grand slams              grand slams              grand slams              grand slams              grand slams              grand slams              grand slams              grand slams              grand slams
1                australian open                        a                        a                        a                        a                        a                        a                        a                       3r                       qf                       1r                       1r                        a                    0 / 4                    6 - 4
2                    french open                        a                        a                       1r                       2r                        f                       3r                       3r                       1r                       4r                       4r                       1r                        a                    0 / 9                   17 - 9
3                      wimbledon                        a                        a                        a                        a                        a                        a                        a                        a                        a                        a                       1r                        a                    0 / 1                    0 - 1
4                        us open                        a                        a                        a                       2r                       1r                        a                       2r                       1r                       1r                        a                        a                        a                    0 / 5                    2 - 5
5                  grand slam sr                    0 / 0                    0 / 0                    0 / 1                    0 / 2                    0 / 2                    0 / 1                    0 / 2                    0 / 3                    0 / 3                    0 / 2                    0 / 3                    0 / 0                   0 / 19                    n / a
6              annual win - loss                    0 - 0                    0 - 0                    0 - 1                    2 - 2                    6 - 2                    2 - 1                    3 - 2                    2 - 3                    7 - 3                    3 - 2                    0 - 3                    0 - 0                    n / a                  25 - 19
7        year - end championship  year - end championship  year - end championship  year - end championship  year - end championship  year - end championship  year - end championship  year - end championship  year - end championship  year - end championship  year - end championship  year - end championship  year - end championship  year - end championship  year - end championship
8   atp tour world championships                        a                        a                        a                        a                       rr                        a                        a                        a                        a                        a                        a                        a                    0 / 1                    0 - 3
9             atp masters series       atp masters series       atp masters series       atp masters series       atp masters series       atp masters series       atp masters series       atp masters series       atp masters series       atp masters series       atp masters series       atp masters series       atp masters series       atp masters series       atp masters series
10                  indian wells                        a                        a                        a                        a                       1r                       3r                       1r                       qf                       1r                       1r                        a                        a                    0 / 6                    4 - 6
11                         miami                        a                        a                        a                        a                       3r                       3r                        a                       2r                       2r                       2r                       1r                        a                    0 / 6                    2 - 6
12                   monte carlo                        a                        a                        a                        a                       3r                       3r                       1r                       2r                       sf                       1r                       1r                        a                    0 / 7                    8 - 7
13                          rome                        a                        a                        a                        a                       2r                       1r                       2r                       sf                       sf                       2r                        a                        a                    0 / 6                   11 - 6
14                       hamburg                        a                        a                       2r                        a                       1r                       2r                       2r                       qf                       3r                       3r                        a                        a                    0 / 7                    8 - 7
15                        canada                        a                        a                        a                        a                        a                        a                       2r                        a                        a                        a                        a                        a                    0 / 1                    1 - 1
16                    cincinnati                        a                        a                        a                        a                        a                       3r                        a                        a                       1r                        a                        a                        a                    0 / 2                    2 - 2
17         stuttgart (stockholm)                        a                        a                        a                        a                        a                       1r                       2r                       1r                        a                        a                        a                        a                    0 / 3                    1 - 3
18                         paris                        a                        a                        a                        a                        a                        a                       3r                       1r                        a                        a                        a                        a                    0 / 2                    2 - 2
19             masters series sr                    0 / 0                    0 / 0                    0 / 1                    0 / 0                    0 / 5                    0 / 7                    0 / 7                    0 / 7                    0 / 6                    0 / 5                    0 / 2                    0 / 0                   0 / 40                    n / a
20             annual win - loss                    0 - 0                    0 - 0                    1 - 1                    0 - 0                    4 - 5                    5 - 7                    6 - 7                   11 - 7                    9 - 6                    3 - 5                    0 - 2                    0 - 0                    n / a                  39 - 40
21              year end ranking                      495                      298                      115                       36                        8                       32                       19                       23                       21                       60                      153                      737                    n / a                    n / a
