    year                                     game                                            genre                                   platform (s)                         developer (s)
0   2001                    halo : combat evolved                       ( first - person ) shooter                                 xbox , windows                        bungie studios
1   2002                         battlefield 1942                       ( first - person ) shooter                                        windows                  digital illusions ce
2   2003  star wars : knights of the old republic                              role - playing game                                 xbox , windows                               bioware
3   2004                            half - life 2                       ( first - person ) shooter      windows , xbox 360 , xbox , playstation 3                     valve corporation
4   2005                               god of war                            action : hack & slash                                  playstation 2              sce studios santa monica
5   2006                                    åkami                               action - adventure                            playstation 2 , wii                         clover studio
6   2007                       super mario galaxy                                       platformer                                            wii  nintendo ead tokyo development group
7   2008                                fallout 3                              role - playing game   microsoft windows , xbox 360 , playstation 3                 bethesda game studios
8   2009               uncharted 2: among thieves  action - adventure : ( third - person ) shooter                                  playstation 3                           naughty dog
9   2010                            mass effect 2          action rpg : ( third - person ) shooter   microsoft windows , xbox 360 , playstation 3                               bioware
10  2011                                 portal 2                        ( first - person ) puzzle  xbox 360 , playstation 3 , windows , mac os x                     valve corporation
11  2012                                  journey                                        adventure                                  playstation 3                       thatgamecompany
