       date                                     course  distance                     type                            winner
0    21 may                                   san remo         -    individual time trial         roberto visentini ( ita )
1    22 may                     san remo to san romolo         -  stage with mountain (s)             erik breukink ( ned )
2    22 may             poggio di san remo to san remo         -    individual time trial             stephen roche ( irl )
3    23 may               imperia to borgo val di taro         -  stage with mountain (s)           moreno argentin ( ita )
4    24 may                         lerici to camaiore         -          team time trial          carrera jeans - vagabond
5    25 may                     camaiore to montalcino         -  stage with mountain (s)           moreno argentin ( ita )
6    26 may                        montalcino to terni         -              plain stage           eddy planckaert ( bel )
7    27 may                  terni to monte terminillo         -  stage with mountain (s)       jean - claude bagot ( fra )
8    28 may                         rieti to roccaraso         -  stage with mountain (s)           moreno argentin ( ita )
9    29 may        roccaraso to san giorgio del sannio         -              plain stage              paolo rosola ( ita )
10   30 may             san giorgio del sannio to bari         -              plain stage               urs freuler ( sui )
11   31 may                            bari to termoli         -              plain stage              paolo rosola ( ita )
12   1 june                                   rest day  rest day                 rest day                          rest day
13   2 june                        giulianova to osimo         -  stage with mountain (s)             robert forest ( fra )
14   3 june                          osimo to bellaria         -              plain stage            guido bontempi ( ita )
15   4 june        rimini to san marino ( san marino )         -    individual time trial         roberto visentini ( ita )
16   5 june  san marino (san marino) to lido di jesolo         -              plain stage              paolo cimini ( ita )
17   6 june                  lido di jesolo to sappada         -  stage with mountain (s)       johan van der velde ( ned )
18   7 june                         sappada to canazei         -  stage with mountain (s)       johan van der velde ( ned )
19   8 june                  canazei to riva del garda         -  stage with mountain (s)              marco vitali ( ita )
20   9 june       riva del garda to trescore balneario         -              plain stage       giuseppe calcaterra ( ita )
21  10 june             trescore balneario to madesimo         -  stage with mountain (s)  jean - franã§ois bernard ( fra )
22  11 june                           madesimo to como         -              plain stage              paolo rosola ( ita )
23  12 june                               como to pila         -  stage with mountain (s)             robert millar ( gbr )
24  13 june                   aosta to saint - vincent         -    individual time trial             stephen roche ( irl )
25    total                                      total         -                  km (mi)                           km (mi)
