   round  overall             player     nationality                          club team
0      1        3         radek bonk  czech republic            las vegas thunder (ihl)
1      2       29   stanislav neckar  czech republic        české budějovice hc (czech)
2      4       81      bryan masotta   united states          hotchkiss academy (us hs)
3      6      131       mike gaffney   united states            lasalle academy (us hs)
4      6      133  daniel alfredsson          sweden  frölunda hc (gothenburg) (sweden)
5      7      159       doug sproule   united states          hotchkiss academy (us hs)
6      9      210   frederic cassivi          canada    saint - hyacinthe laser (qmjhl)
7      9      211       danny dupont          canada                laval titan (qmjhl)
8     10      237    steve mackinnon   united states     chelmsford high school (us hs)
9     11      274     antti tormanen         finland     jokerit ( helsinki ) (finland)
