    draw                 artist                     song  points  place
0      1           alma čardžić     ljubav će pobijediti       6     10
1      2      vlada & music box            hiljadu snova       5     11
2      3           sunčeve pege       viva rock 'n' roll       0     16
3      4            viva romana              na mig tvoj       3     13
4      5                makadam             sanjam ljeto      22      6
5      6                    mag     nikome te dao ne bih      10      9
6      7          dejan božović    dan samo zna , tamara       0     16
7      8  sonja mitrović - hani  nebo je plakalo za nama      34      4
8      9       violeta & triler               bio si sve       0     16
9     10           filip & nada            zemlja anđela      12      8
10    11                 perper           s druge strane       0     16
11    12       sestre barudžija     hej , hej , vrati se       5     11
12    13                 renata              ti si vetar      18      7
13    14          zerina cokoja  neka te pjesmom probude       2     14
14    15                  bojan                   dajana      31      5
15    16            bajone bend                  molitva       2     14
16    17             extra nena        ljubim te pesmama      44      1
17    18                vampiri           ding ding dong      41      2
18    19           ledeni princ      pokloni mi poljupce       0     16
19    20       arnela konaković                 prva noć      35      3
