         position                game 1            game 2                game 3                game 4
0        fullback            garry jack        garry jack            garry jack      jonathan docking
1            wing      michael o'connor  michael o'connor        brian johnston        brian johnston
2          centre            mark mcgaw        mark mcgaw           brett kenny            mark mcgaw
3          centre        brian johnston    brian johnston      michael o'connor      michael o'connor
4            wing  andrew ettingshausen     andrew farrar  andrew ettingshausen  andrew ettingshausen
5   five - eighth           brett kenny       brett kenny           cliff lyons           cliff lyons
6        halfback        peter sterling    peter sterling        peter sterling    peter sterling (c)
7            prop          les davidson       david boyle           peter tunks           peter tunks
8          hooker         royce simmons     royce simmons         royce simmons         royce simmons
9            prop            pat jarvis        pat jarvis            phil daley            phil daley
10     second row          steve folkes      steve folkes           david boyle            noel cleal
11     second row            noel cleal      les davidson          les davidson          les davidson
12           lock      wayne pearce (c)  wayne pearce (c)      wayne pearce (c)         paul langmack
13    replacement            des hasler        des hasler            mark mcgaw            des hasler
14    replacement           david boyle     paul langmack          steve folkes           david boyle
