    school year                          class a                 class aa         class aaa                                  class aaaa
0     1985 - 86                           bronte             liberty hill            slaton                             austin westlake
1     1986 - 87                          lindsay             liberty hill            slaton                                  cedar hill
2     1987 - 88                            happy                  clifton          lampasas                                  cedar hill
3     1988 - 89                           plains                abernathy          lampasas                                    mckinney
4     1989 - 90                     valley mills              van alstyne            bishop                               highland park
5     1990 - 91                     valley mills                 canadian     abilene wylie             (tie) carthage / kerrville tivy
6     1991 - 92                     valley mills                 canadian              troy                               highland park
7     1992 - 93                             vega                 canadian  dripping springs                                  kingsville
8     1993 - 94                          lindsay      stinnett west texas        bridgeport                  corpus christi flour bluff
9     1994 - 95                          lindsay      stinnett west texas        bridgeport                             mesquite poteet
10    1995 - 96                             rule                 franklin        kirbyville                              austin johnson
11    1996 - 97                          moulton      stinnett west texas         wimberley  (tie) highland park / waco midway / willis
12    1997 - 98                          moulton      stinnett west texas        kirbyville                               highland park
13    1998 - 99             san antonio lackland               jourdanton          alvarado  (tie) gregory - portland / sulphur springs
14  1999 - 2000                     water valley      stinnett west texas       orangefield                          gregory - portland
15    2000 - 01                           hedley      stinnett west texas          seminole                                  kingsville
16    2001 - 02                    (unavailable)            (unavailable)     (unavailable)                               (unavailable)
17    2002 - 03                    (unavailable)                (comfort)     (unavailable)                               (unavailable)
18    2003 - 04                            avery                   argyle         wimberley                                 friendswood
19    2004 - 05                          academy                 floydada         wimberley                                 friendswood
20    2005 - 06                            avery  harmony science academy             cuero                                 friendswood
21    2006 - 07  houston harmony science academy                 floydada             cuero              north richland hills birdville
22    2007 - 08                          moulton               new boston         wimberley              north richland hills birdville
23    2008 - 09                          lindsay                white oak         wimberley                                  frindswood
24    2009 - 10                         canadian       irving north hills        new boston                        dallas highland park
25    2010 - 11                         canadian                white oak          la feria                             pearland dawson
