    year         venue                winners                runner - up              3rd place
0   1998     bydgoszcz      polonia bydgoszcz               olymp prague     lukoil oktriabskij
1   1999  diedenbergen      polonia bydgoszcz           msc diedenbergen  mega - lada togliatti
2   2000          piła           polonia piła         lukoil oktriabskij            ac landshut
3   2001    daugavpils      polonia bydgoszcz         lukoil oktriabskij   lokomotiv daugavpils
4   2002     pardubice  mega - lada togliatti     zlata prilba pardubice           apator toruń
5   2003      debrecen  mega - lada togliatti       hajdu volan debrecen         amtk ljubljana
6   2004     ljubljana  włókniarz częstochowa      mega - lada togliatti         amtk ljubljana
7   2005      tolyatti  mega - lada togliatti  speedway centr daugavpils   russian reserve team
8   2006        tarnów            unia tarnów      mega - lada togliatti    simon&wolf debrecen
9   2007       miskolc       speedway miskolc              atlas wrocław  mega - lada togliatti
10  2008         slaný  mega - lada togliatti        simon&wolf debrecen               ak slaný
11  2009         toruń           kaskad rivne               unibax toruń     vostok vladivostok
12  2010       miskolc    sk turbina balakovo           speedway miskolc   falubaz zielona góra
13  year         venue                winners                runner - up              3rd place
