       week of      tier                                                winner                            runner - up                        semi finalists
0    2 october   tier iv                         shi - ting wang 6 - 1 , 6 - 1                         jing - qian yi           tina križan annabel ellwood
1    2 october   tier iv       petra kamstra tina križan 2 - 6 , 6 - 4 , 6 - 1            nana miyagi stephanie reece           tina križan annabel ellwood
2    2 october    tier i                              iva majoli 6 - 4 , 6 - 4                            mary pierce        chanda rubin mariaan de swardt
3    2 october    tier i   nicole arendt manon bollegraf 6 - 4 , 6 - 7 , 6 - 4              chanda rubin caroline vis        chanda rubin mariaan de swardt
4    9 october   tier ii                              iva majoli 6 - 4 , 7 - 6                      gabriela sabatini               anke huber chanda rubin
5    9 october   tier ii  gigi fernández natalia zvereva 5 - 7 , 6 - 1 , 6 - 4      meredith mcgrath larisa savchenko               anke huber chanda rubin
6   17 october   tier ii                      mary joe fernández 6 - 4 , 7 - 5                         amanda coetzer     kristie boogert magdalena maleeva
7   17 october   tier ii       meredith mcgrath larisa savchenko 7 - 5 , 6 - 1              lori mcneil helena suková     kristie boogert magdalena maleeva
8   30 october  tier iii               brenda schultz - mccarthy 7 - 6 , 6 - 2                       dominique monami             lindsay lee rennae stubbs
9   30 october  tier iii   nicole arendt manon bollegraf 7 - 6 , 4 - 6 , 6 - 2             lisa raymond rennae stubbs             lindsay lee rennae stubbs
10  30 october   tier ii                       magdalena maleeva 6 - 3 , 6 - 4                            ai sugiyama  lindsay davenport mary joe fernández
11  30 october   tier ii       lori mcneil helena suková 3 - 6 , 6 - 4 , 6 - 3  katrina adams zina garrison - jackson  lindsay davenport mary joe fernández
