             class ships in class  pennant number                            builder commissioned
0   katanpää class       katanpää              40  intermarine spa , sarzana , italy       2012 -
1   katanpää class       purunpää              41  intermarine spa , sarzana , italy       2012 -
2   katanpää class      vahterpää              42  intermarine spa , sarzana , italy       2012 -
3       kuha class        kuha 21              21  laivateollisuus , turku , finland  1974 - 1975
4       kuha class        kuha 23              23  laivateollisuus , turku , finland  1974 - 1975
5       kuha class        kuha 24              24  laivateollisuus , turku , finland  1974 - 1975
6       kuha class        kuha 26              26  laivateollisuus , turku , finland  1974 - 1975
7     kiiski class       kiiski 1             521       fiskars oy , turku , finland  1982 - 1984
8     kiiski class       kiiski 3             523       fiskars oy , turku , finland  1982 - 1984
9     kiiski class       kiiski 4             524       fiskars oy , turku , finland  1982 - 1984
10    kiiski class       kiiski 5             525       fiskars oy , turku , finland  1982 - 1984
11    kiiski class       kiiski 6             526       fiskars oy , turku , finland  1982 - 1984
12    kiiski class       kiiski 7             527       fiskars oy , turku , finland  1982 - 1984
