              player       position  tries  goals  points
0        robbie paul       fullback     23      0      92
1     glen tomlinson      stand off      5      0      20
2     graeme bradley         centre     14      0      56
3      carlos hassan         centre      6      0      24
4         jon scales           wing     18      0      72
5       davide longo           wing      3      0      12
6          paul cook     scrum half      6     52     129
7          jon hamer           prop      0      0       0
8      jason donahue         hooker      1      0       4
9      nathan graham       fullback      0      0       0
10  jeremy donougher     second row      9      0      36
11       paul medley     second row      9      0      36
12      sonny nickle     second row      6      0      24
13     gary christie           wing      1      0       4
14        simon knox  loose forward      6      0      24
15      matt calland         centre     14      0      56
16     karl fairbank           prop      5      0      20
17   brian mcdermott           prop      5      0      20
18     bernard dwyer         hooker      9      0      36
19     paul loughlin         centre     12      3      54
20       james lowes         hooker     11      0      44
21    steve mcnamara  loose forward      1     82     170
22        joe tamani           wing      4      0      16
23     stuart spruce       fullback     12      0      48
