                               portfolio                minister       took office       left office         party
0              minister european affairs       rocco buttiglione      11 june 2001     23 april 2005           udc
1    minister of reforms and devolutions           umberto bossi      11 june 2001      16 july 2004     lega nord
2    minister of reforms and devolutions       roberto calderoli      16 july 2004     23 april 2005     lega nord
3                minister of innovations            lucio stanca      11 june 2001     23 april 2005  forza italia
4          minister for regional affairs        enrico la loggia      11 june 2001     23 april 2005  forza italia
5   minister for platform accomplishment         claudio scajola    28 august 2003     23 april 2005  forza italia
6        minister of equal opportunities  stefania prestigiacomo      11 june 2001     23 april 2005  forza italia
7     minister of pubblic administration         franco frattini      11 june 2001  14 november 2002  forza italia
8     minister of pubblic administration          luigi mazzella  14 november 2002   3 december 2004   independent
9     minister of pubblic administration           mario baccini   3 december 2004     23 april 2005           udc
10     minister of italians in the world         mirko tremaglia      11 june 2001     23 april 2005            an
