   rank               name                      team  games  rebounds
0     1       joseph blair          spartak primorje     19       177
1     2         lee nailon    sibirtelecom lokomotiv     12       105
2     3    zendon hamilton        enisey krasnoyarsk     17       142
3     4      rafael araãjo  spartak saint petersburg     20       155
4     5       brent wright                ural great     22       159
5     6       maciej lampe                    khimki     17       120
6     7  maksim krivosheev    sibirtelecom lokomotiv     23       157
7     8      tariq kirksay               unics kazan     22       148
8     9     david andersen               cska moscow     18       120
9    10       kelvin gibbs               universitet     15        94
