    rnd       circuit                         gto winning team                           gtu winning team                    to winning team                        tu winning team  results
0     1       sebring                          59 dave helmick                             27 don lindley                   17 vince gimondo                    112 jim grob racing  results
1     1       sebring  peter gregg hurley haywood dave helmick  don lindley stephen behr brian goellnicht        vince gimondo billy dingman                 jim grob juan montalvo  results
2     2       daytona            59 brumos porsche - audi corp                           32 bob bergstrom          88 carter racing services                    112 jim grob racing  results
3     2       daytona               peter gregg hurley haywood                     bob bergstrom jim cook                     maurice carter                 jim grob juan montalvo  results
4     3        pocono                 1 toad hall motor racing                           62 bob bergstrom          88 carter racing services                         90 z & w mazda  results
5     3        pocono                 mike keyser stephen behr                     bob bergstrom jim cook      maurice carter tony delorenzo  ray walle bob speakman richard schuck  results
6     4       daytona                           96 gene felton                           62 bob bergstrom          88 carter racing services                                 32 bmw  results
7     4       daytona                              gene felton                              bob bergstrom                     maurice carter                            phil dermer  results
8     5    mid - ohio                 1 toad hall motor racing                           62 bob bergstrom                      3 ausca , inc                  60 auto sport by jiri  results
9     5    mid - ohio                  mike keyser bob beasley                     bob bergstrom jim cook  harry theodoracopulos horst kwech               dave nicholas john magee  results
10    6     lime rock                 1 toad hall motor racing                           62 bob bergstrom                     18 warren agor                  60 auto sport by jiri  results
11    6     lime rock                              mike keyser                              bob bergstrom                        warren agor                          dave nicholas  results
12    7     lime rock                           59 peter gregg                         74 ludwig heimrath                     18 warren agor                          60 john magee  results
13    7     lime rock                              peter gregg                            ludwig heimrath                        warren agor                             john magee  results
14    8  road atlanta                           59 peter gregg                         74 ludwig heimrath                            3 ausca                           no finishers  results
15    8  road atlanta                              peter gregg                            ludwig heimrath                        horst kwech                           no finishers  results
16    9           irp                           59 peter gregg                         74 ludwig heimrath                            3 ausca                         90 z & w mazda  results
17    9           irp                              peter gregg                            ludwig heimrath  harry theodoracopulos horst kwech                 ray walle ray kraftson  results
18   10       daytona                           59 peter gregg                         74 ludwig heimrath              18 warren agor racing                                 35 bmw  results
