   year                award                                          category                           nominee     result
0  2001           tony award                         best revival of a musical         best revival of a musical  nominated
1  2001           tony award  best performance by a leading actor in a musical                        tom hewitt  nominated
2  2001           tony award                       best direction of a musical                christopher ashley  nominated
3  2001           tony award                               best costume design                   david c woolard  nominated
4  2001     drama desk award                  outstanding revival of a musical  outstanding revival of a musical  nominated
5  2001     drama desk award                    outstanding actor in a musical                        tom hewitt  nominated
6  2001     drama desk award                 outstanding director of a musical                christopher ashley  nominated
7  2001     drama desk award                          outstanding choreography                    jerry mitchell  nominated
8  2001     drama desk award               outstanding set design of a musical                    david rockwell  nominated
9  2001  theatre world award                               theatre world award                      raãl esparza        won
