    round  pick                    player    nationality         college / junior / club team
0       1     4        paul kariya ( lw )         canada  university of maine ( hockey east )
1       2    30    nikolai tsulygin ( d )         russia         salavat yulayev ufa (russia)
2       3    56      valeri karpov ( rw )         russia         traktor chelyabinsk (russia)
3       4    82         joel gagnon ( g )         canada              oshawa generals ( ohl )
4       5   108  mikhail shtalenkov ( g )         russia           milwaukee admirals ( ihl )
5       6   134         antti aalto ( c )        finland                  tps turku (finland)
6       7   160       matt peterson ( d )  united states            osseo orioles (high - mn)
7       8   186           tom askey ( g )  united states         ohio state university (ccha)
8       9   212        vitaly kozel ( c )        belarus                       minsk (russia)
9      10   238     anatoli fedotov ( d )         russia              krylia sovetov (russia)
10     11   264       david penney ( lw )  united states        worcester academy (high - ma)
