    rank                       nation  gold  silver  bronze  total
0      1                       france    33      20      11     64
1      2                      morocco    12      14      14     40
2      3                        egypt     6       1       7     14
3      4                      romania     3       8       6     17
4      5                       canada     3       6       9     10
5      6                  ivory coast     3       5       2     10
6      7                      tunisia     3       3       7     13
7      8                 burkina faso     2       3       6     11
8      9                         chad     2       0       0      2
9     10                      senegal     1       4       5     10
10    11                        niger     1       1       1      3
11    12                   seychelles     1       1       0      2
12    13                       rwanda     1       0       2      3
13    14                        benin     1       0       0      1
14    15                    mauritius     0       2       2      4
15    16                     cameroon     0       1       4      5
16    17                        gabon     0       1       2      3
17    17                   luxembourg     0       1       2      3
18    19                       quebec     0       1       1      2
19    19                         mali     0       1       1      2
20    21  french community of belgium     0       0       4      4
21    22                   cape verde     0       0       1      1
22    22        republic of the congo     0       0       1      1
23    22                      lebanon     0       0       1      1
24    22                   madagascar     0       0       1      1
25    22                  switzerland     0       0       1      1
