    season                        winner             runner - up             third place            fourth place
0     1999                   yokohama fc             honda motor        mito hollyhock ↑                denso sc
1     2000             yokohama fc (2) ↑             honda motor                denso sc  otsuka pharmaceuticals
2     2001               honda motor (2)  otsuka pharmaceuticals                jatco fc          sagawa express
3     2002               honda motor (3)          sagawa express  otsuka pharmaceuticals             sony sendai
4     2003        otsuka pharmaceuticals                honda fc                ehime fc    sagawa express osaka
5     2004  otsuka pharmaceuticals (2) ↑                honda fc        thespa kusatsu ↑                  ykk ap
6     2005                    ehime fc ↑                  ykk ap         alo 's hokuriku              tochigi sc
7     2006                  honda fc (4)    sagawa express tokyo    sagawa express osaka                  ykk ap
8     2007                sagawa express        rosso kumamoto ↑               fc gifu ↑         alo 's hokuriku
9     2008                  honda fc (5)            tochigi sc ↑       kataller toyama ↑       fagiano okayama ↑
10    2009              sagawa shiga (2)      yokogawa musashino             sony sendai   new wave kitakyushu ↑
11    2010             gainare tottori ↑            sagawa shiga          machida zelvia                honda fc
12    2011              sagawa shiga (3)         nagano parceiro        machida zelvia ↑      matsumoto yamaga ↑
