                       club                     city                    stadium  capacity                 2007 - 08 season
0                 ac arezzo                   arezzo     stadio città di arezzo     13128              7th in serie c1 / b
1          benevento calcio                benevento       stadio santa colomba     18927           serie c2 / c champions
2            ss cavese 1919         cava de' tirreni  stadio simonetta lamberti     16000             10th in serie c1 / a
3                fc crotone                  crotone          stadio ezio scida      9631              4th in serie c1 / b
4                 us foggia                   foggia      stadio pino zaccheria     25000              5th in serie c1 / a
5            foligno calcio                  foligno        stadio enzo blasone      5650              4th in serie c1 / a
6          gallipoli calcio                gallipoli      stadio antonio bianco      5000              9th in serie c1 / b
7            ss juve stabia  castellammare di stabia         stadio romeo menti     10400             15th in serie c1 / b
8    real marcianise calcio               marcianise         stadio progreditur      3000  serie c2 / c play - off winners
9      paganese calcio 1926                   pagani      stadio marcello torre      3700             15th in serie c1 / a
10           perugia calcio                  perugia         stadio renato curi     28000              5th in serie c1 / b
11           pescara calcio                  pescara           stadio adriatico     22260              6th in serie c1 / b
12             ac pistoiese                  pistoia     stadio marcello melani     13195             14th in serie c1 / b
13               potenza sc                  potenza     stadio alfredo viviani      6000             11th in serie c1 / b
14          sorrento calcio                 sorrento              stadio italia      3600             10th in serie c1 / b
15            taranto sport                  taranto     stadio erasmo iacovone     28000              3rd in serie c1 / b
16           ternana calcio                    terni     stadio libero liberati     20095             13th in serie c1 / a
17  ss virtus lanciano 1924                 lanciano        stadio guido biondi      7500             16th in serie c1 / b
