    year                                 award                           work       cole      dylan
0   1999                      youngstar awards                      big daddy  nominated  nominated
1   2000                      mtv movie awards                      big daddy  nominated  nominated
2   2000      blockbuster entertainment awards                      big daddy  nominated  nominated
3   2000                   young artist awards                      big daddy  nominated  nominated
4   2006                   young artist awards  the suite life of zack & cody  nominated  nominated
5   2007                   kids' choice awards  the suite life of zack & cody  nominated      n / a
6   2007                   young artist awards  the suite life of zack & cody  nominated  nominated
7   2007  popstar magazine 's poptastic awards  the suite life of zack & cody  nominated  nominated
8   2008                   kids' choice awards  the suite life of zack & cody  nominated  nominated
9   2008  popstar magazine 's poptastic awards  the suite life of zack & cody  nominated  nominated
10  2009                   kids' choice awards  the suite life of zack & cody  nominated        won
11  2009  popstar magazine 's poptastic awards         the suite life on deck  nominated  nominated
12  2010                   kids' choice awards         the suite life on deck  nominated        won
13  2011                   kids' choice awards         the suite life on deck  nominated        won
