                     tournament                         2007                         2008                         2009                         2010                         2011                         2012
0        grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments
1               australian open                            a                           1r                           1r                           4r                           3r                           3r
2                   french open                            a                           1r                            a                           3r                           1r                           2r
3                     wimbledon                            a                           1r                            a                           2r                           2r                           1r
4                       us open                           3r                           1r                           4r                           3r                           qf                           3r
5                    win - loss                        2 - 1                        0 - 4                        3 - 2                        8 - 4                        7 - 4                        5 - 4
6                 olympic games                olympic games                olympic games                olympic games                olympic games                olympic games                olympic games
7               summer olympics                           nh                            a                     not held                     not held                     not held                           qf
8   atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000
9          indian wells masters                            a                           2r                           4r                           4r                           3r                            f
10                miami masters                            a                           1r                           2r                           3r                           4r                           3r
11          monte carlo masters                            a                            a                            a                            a                            a                            a
12                 rome masters                            a                            a                            a                           2r                           1r                           2r
13               madrid masters                            a                            a                            a                           3r                           2r                           2r
14               canada masters                            a                            a                           2r                            a                           2r                           sf
15           cincinnati masters                           1r                           2r                           2r                           2r                           1r                            a
16             shanghai masters                          nms                          nms                           1r                           2r                            a                           3r
17                paris masters                            a                            a                           2r                           2r                           sf                           2r
18                   win - loss                        0 - 1                        2 - 3                        7 - 6                        8 - 7                        9 - 7                       11 - 7
19            career statistics            career statistics            career statistics            career statistics            career statistics            career statistics            career statistics
20              titles - finals                        0 - 1                        0 - 0                        0 - 0                        1 - 4                        2 - 3                        2 - 4
21             year end ranking                          106                          144                           34                           19                           18                           14
