   rank  year                 name          moving from         moving to
0     1  2007        nery castillo           olympiacos  shakhtar donetsk
1     2  2007              willian          corinthians  shakhtar donetsk
2     3  2004            matuzalém              brescia  shakhtar donetsk
3     4  2007              ilsinho            são paulo  shakhtar donetsk
4     5  2008       marcelo moreno             cruzeiro  shakhtar donetsk
5     6  2007  cristiano lucarelli              livorno  shakhtar donetsk
6     7  2005          fernandinho  atlético paranaense  shakhtar donetsk
7     8  2005                elano               santos  shakhtar donetsk
8     9  2007        pape diakhaté                nancy       dynamo kyiv
9    10  2007      ismaël bangoura              le mans       dynamo kyiv
