   rank                nation  gold  silver  bronze  total
0     1         united states    25      19      19     63
1     2  sweden (host nation)    24      24      17     65
2     3         great britain    10      15      16     41
3     4               finland     9       8       9     26
4     5                france     7       4       3     14
5     6               germany     5      13       7     25
6     7          south africa     4       2       0      6
7     8                norway     4       1       4      9
8     9                canada     3       2       3      8
9     9               hungary     3       2       3      8
