    round  pick  overall              name          position                   college
0       1    23       23     john williams  offensive tackle                 minnesota
1       2    23       50         bob grant        linebacker               wake forest
2       3    23       78       rich o'hara               end          northern arizona
3       4    24      107        jim duncan    defensive back  maryland - eastern shore
4       5    15      126        paul elzey        linebacker                    toledo
5       7    24      188   anthony andrews          halfback         hampton institute
6       8    24      216       tommy davis  defensive tackle             tennessee a&i
7       9    23      242        terry cole          fullback                   indiana
8      10    11      257       ocie austin    defensive back                utah state
9      10    24      270         ed tomlin          fullback         hampton institute
10     11    23      296      bill pickens             guard                   houston
11     12    24      324     james jackson  defensive tackle             jackson state
12     13    23      350    howie tennebar             guard                kent state
13     14    24      378  charles mitchell         tight end             alabama state
14     15    23      404       jeff beaver       quarterback            north carolina
15     16    24      432   walt blackledge           flanker            san jose state
16     17    23      458      roy pederson             guard             northern iowa
