    pick            player    position             nationality                 nhl team              college / junior / club team
0     81       derek black   left wing                  canada       new york islanders                calgary centennials (wcha)
1     82        frank blum  goaltender                  canada           atlanta flames               sarnia legionnaires (wojhl)
2     83    dave mclelland  goaltender                  canada        vancouver canucks                brandon wheat kings (wcha)
3     84      mike usitalo   left wing           united states        los angeles kings  michigan technological university (wcha)
4     85       peter mcnab      centre  canada / united states           buffalo sabres               university of denver (wcha)
5     86  jacques lefebvre  goaltender                  canada  california golden seals                 shawnigan dynamos (qmjhl)
6     87    david hastings  goaltender                  canada      philadelphia flyers              charlottetown royals (majhl)
7     88       jeff ablett   left wing                  canada      pittsburgh penguins                medicine hat tigers (wchl)
8     89       tom simpson  right wing                  canada           st louis blues                   oshawa generals (omjhl)
9     90       bill miller     defence                  canada        detroit red wings                medicine hat tigers (wchl)
10    91     dave shardlow   left wing                  canada      toronto maple leafs                  flin flon bombers (wchl)
11    92        steve west      centre                  canada    minnesota north stars                   oshawa generals (omjhl)
12    93        rob palmer      centre           united states      chicago black hawks               university of denver (wcha)
13    94       d'arcy ryan      centre                  canada       montreal canadiens                    yale university (ecac)
14    95       ken ireland      centre                  canada         new york rangers             new westminster bruins (wchl)
15    96         peter gaw  right wing                  canada            boston bruins                      ottawa 67 's (omjhl)
