    matches  innings  not outs  runs  average
0        41       40         6  1598    47.00
1        71       69         9  2475    41.25
2        87       81        11  2717    38.81
3       121      109        14  3672    38.65
4       143      140        18  4707    38.15
5        87       87         9  2784    35.69
6       223      217        14  7090    34.92
7        35       30         1  1041    35.89
8        37       28         6   716    32.54
9        49       46         5  1334    32.53
10      279      268        21  8007    32.41
