           day (see irregularities )            monday first day              tuesday second day              wednesday third day             thursday fourth day             friday fifth day               saturday sixth day                 sunday seventh day
0                           iso 8601                           1                               2                                3                               4                            5                                6                                  7
1                            russian     понедельник ponedel'nik                 вторник vtornik                      среда sreda                четверг chetverg            пятница pyatnitsa                  суббота subbota           воскресенье voskresen'ye
2                         belarusian      панядзелак panyadzelak                 аўторак awtorak                    серада serada               чацьвер chats'ver            пятніца pyatnitsa                    субота subota                  нядзеля nyadzelya
3                          ukrainian         понедiлок ponedilok               вiвторок vivtorok                    середа sereda                  четвер chetver         п'ятниця p'yatnitsya                    субота subota                     недiля nedilya
4                          bulgarian       понеделник ponedelnik                 вторник vtornik                     сряда sryada            четвъртък chetvărtăk                  петък petăk                    събота săbota                     неделя nedelya
5                             polish                poniedziałek                          wtorek                            środa                        czwartek                       piątek                           sobota                          niedziela
6                          kashubian                  pòniedzôłk                           wtórk                          strzoda                        czwiôrtk                        piątk                           sobòta                           niedzela
7                                luo                   wuok tich                      tich ariyo                        tich adek                    tich ang'uen                   tich abich                    chieng' ngeso                           juma pil
8                             slovak                    pondelok                          utorok                           streda                         štvrtok                       piatok                           sobota                             nedeľa
9                              czech         pondělí or pondělek                 úterý or úterek                           středa                         čtvrtek                        pátek                           sobota                             neděle
10                           slovene                  ponedeljek                           torek                            sreda                         četrtek                        petek                           sobota                            nedelja
11                          croatian                 ponedjeljak                          utorak                          srijeda                        četvrtak                        petak                           subota                           nedjelja
12                           serbian        понедељак ponedeljak                   уторак utorak                      среда sreda               четвртак četvrtak                  петак petak                    субота subota                     недеља nedelja
13                        macedonian       понеделник ponedelnik                 вторник vtornik                      среда sreda              четврток chetvrtok                  петок petok                    сабота sabota                      недела nedela
14                        lithuanian                 pirmadienis                     antradienis                     trečiadienis                  ketvirtadienis                 penktadienis                      šeštadienis                        sekmadienis
15                           latvian                   pirmdiena                        otrdiena                        trešdiena                     ceturtdiena                   piektdiena                        sestdiena                          svētdiena
16                         hungarian                       hétfő                            kedd                    szerda slavic                csütörtök slavic                péntek slavic                          szombat                           vasárnap
17                          estonian                   esmaspäev                       teisipäev                        kolmapäev                       neljapäev                        reede                          laupäev                           pühapäev
18  s chinese character (in pinyin )                星期一 xīngqīyī                   星期二 xīngqī'èr                    星期三 xīngqīsān                    星期四 xīngqīsì                 星期五 xīngqīwǔ                    星期六 xīngqīliù  星期日 or 星期天 xīngqīrì or xīngqítiān
19             mongolian (numerical)  нэг дэх өдөр neg dekh ödör  хоёр дахь өдөр hoyor dahi ödör  гурав дахь өдөр gurav dahi ödör  дөрөв дэх өдөр döröv dekh ödör  тав дахь өдөр tav dahi ödör  хагас сайн өдөр hagas sayn ödör    бүтэн сайн өдөр büten sayn ödör
20               mongolian (tibetan)                 даваа davaa                  мягмар myagmar                    лхагва lhagva                     пүрэв pürev                баасан baasan                     бямба byamba                           ням nyam
21                           turkish                   pazartesi                            salı                         çarşamba                        perşembe                         cuma                        cumartesi                              pazar
