   round  pick               name          position          college
0      1     8    tim biakabutuka      running back         michigan
1      2    43    muhsin muhammad     wide receiver   michigan state
2      3    73     winslow oliver      running back       new mexico
3      3    88          j c price  defensive tackle    virginia tech
4      4   104   norberto garrido             guard              usc
5      4   111  emmanuel mcdaniel    defensive back    east carolina
6      5   142    marquette smith      running back  central florida
7      6   193       scott greene      running back   michigan state
8      7   217      donnell baker     wide receiver         southern
9      7   234        kerry hicks  defensive tackle         colorado
