       date       cover model  centerfold model      interview subject       20 questions
0    1 - 88              none  kimberley conrad  arnold schwarzenegger          susan dey
1    2 - 88   sandy greenberg      kari kennell           oliver stone  harold washington
2    3 - 88   terri lynn doss       susie owens          billy crystal          tom waits
3    4 - 88            vanity     eloise broady             tom clancy      harrison ford
4    5 - 88       laurie carr         diana lee               don king          teri garr
5    6 - 88       india allen        emily arth            chevy chase    theresa russell
6    7 - 88    cindy crawford   terri lynn doss             paul hogan     judge reinhold
7    8 - 88  kimberley conrad  helle michaelsen          harry edwards   harvey fierstein
8    9 - 88      jessica hahn    laura richmond          yasser arafat      tracey ullman
9   10 - 88   terri lynn doss      shannon long            roger craig   morton downey jr
10  11 - 88    laura richmond         pia reyes           bruce willis        john cleese
11  12 - 88   kata k채rkk채inen   kata k채rkk채inen                   cher       gene simmons
