    rank               nation  gold  silver  bronze  total
0      1                 cuba    25      18       5     48
1      2               mexico     7       9       3     19
2      3              bahamas     4       3      10     17
3      4              jamaica     2       4       1      7
4      5          puerto rico     2       1      10     13
5      6             barbados     1       1       1      3
6      7             colombia     0       2       5      7
7      8              bermuda     0       2       2      4
8      9            venezuela     0       1       0      1
9     10  trinidad and tobago     0       0       1      1
10    10  antigua and barbuda     0       0       1      1
11    10   dominican republic     0       0       1      1
