         year            men 's singles           women 's singles                            men 's doubles                   women 's doubles                      mixed doubles
0        1962          ferry sonneville             marjorie shedd               jim poole robert b williams     marjorie shedd dorothy tinline    berndt dahlberg dorothy tinline
1        1963               erland kops             marjorie shedd                      erland kops b mcgoig     marjorie shedd dorothy tinline          erland kops claire lovett
2        1964        c ratanaseangsuang                jean miller                 eiichi nagai eiichi sakai     marjorie shedd dorothy tinline      james carnwath marjorie shedd
3        1965        c ratanaseangsuang                jean miller              jim poole c ratanaseangsuang      tyna barinaga caroline jensen           b mccoig margaret barand
4        1966             tan aik huang               judy hashman                  ng boon bee tan yee khan           judy hashman susan peard            ng boon bee ulla strand
5        1967               erland kops            alison daysmith                  roger mills colin beacom         patricia moody jean miller       roger mills sharon whittaker
6        1968             bruce rollick           sharon whittaker      sangob rattanusorn chavalert chumkum      sharon whittaker mimi nilsson     sangob rattanusorn lois alston
7        1969              rudy hartono               eva twedberg                      tony jordan b mcgoig             retno kustijah minarni                    darmadi minarni
8        1970              ippei kojima              tyna barinaga    raphi kanchanaraphi c ratanaseangsuang     susan whetnall margaret boxall        ippei kojima susan whetnall
9        1971              rudy hartono                 hiroe yuki                 ng boon bee punch gunalan           noriko takagi hiroe yuki              ng boon bee sylvia ng
10       1972              derek talbot               eva twedberg                 mike tredgett ray stevens     anne berglund pernille kaagard    flemming delfs pernille kaagard
11       1973             jamie paulson             nancy mckinley                   jamie paulson yves pare    margaret beck joke van beusekom                     no competition
12       1974             jamie paulson             jane youngberg            shoichi toganoo nobutaka ikeda       jane youngberg barbara welch  raphi kanchanaraphi barbara welch
13       1975               ray stevens              margaret beck                 mike tredgett ray stevens    margaret beck joke van beusekom                     no competition
14       1976             bandid jaiyen             wendy clarkson                 mike tredgett ray stevens     margaret lockwood nora gardner                     no competition
15       1977            flemming delfs             wendy clarkson             thomas kihlström bengt fröman           nora perry karen puttick              david eddy nora perry
16       1978            flemming delfs             wendy clarkson             thomas kihlström bengt fröman         sonoe ohtsuka kazuk sekine     steen skovgaard wendy clarkson
17       1979              morten frost           fumiko tookairin            christian hadinata ade chandra     imelda wiguno verawaty wiharjo   christian hadinata imelda wiguno
18       1980              morten frost              gillian gilks                 mike tredgett ray stevens            nora perry jane webster           mike tredgett nora perry
19       1981                nick yates                sam yanquin              thomas kihlström ray stevens            nora perry jane webster     thomas kihlström gillian gilks
20       1982         torbjörn peterson               sally podger           torbjörn peterson lars wengberg        gillian gilks gillian clark      billy gilliland karen chapman
21       1983              misbun sidek             kenneth larsen                 rashid sidek misbun sidek         sally podger karen beckman       mike butler claire backhouse
22       1984          michael kjeldsen                  hong chen                  razif sidek misbun sidek       gillian gowers karen chapman          nigel tier gillian gowers
23       1985       jens peter nierhoff  claire backhouse - sharpe        jens peter nierhoff henrik svarrer    johanne falardeau denyse julien         billy gilliland nora perry
24       1986            no competition             no competition                            no competition                     no competition                     no competition
25       1987          park seeng - bae            chun sung - suk            lee deuk - choon lee sam - bok      kim jung - ja cho young - suk          andy goode gillian gowers
26       1988              steve butler               zheng baojun        jens peter nierhoff henrik svarrer        erica van dijck eline coene     henrik svarrer erica van dijck
27       1989            anders neilson              denyse julien               bryan blanshard mike bitten      hwa jung - eun joo shon - hye            mike bitten doris piché
28       1990              fung permadi        vlada chernyavskaya                  ong ewe chye razif sidek          denyse julien doris piché      bryan blanshard denyse julien
29       1991              steve butler              elena rybkina                  jalani sidek razif sidek         gillian gowers sara sankey        nick ponting gillian gowers
30       1992           ahn jae - chang               hisako mizui             cheah soon kit soo beng kiang        pernille dupont lotte olsen        thomas lund pernille dupont
31       1993  thomas stuer - lauridsen             camilla martin       thomas lund jon holst - christensen        pernille dupont lotte olsen        thomas lund pernille dupont
32       1994           lioe tiong ping        pernille nedergaard                ade sutrisna candra wijaya      rikke olsen helene kirkegaard          jürgen koch irina servova
33       1995           lee kwang - jin            bang soo - hyun            ha tae - kwon kang kyung - jin        gil young - ah tang yongshu     kim dong - moon gil young - ah
34  1996 1998            no competition             no competition                            no competition                     no competition                     no competition
35       1999                brian abra             charmaine reid                      wang wen darryl yung  robbyn hermitage milaine cloutier           iain sydie denyse julien
36  2000 2001            no competition             no competition                            no competition                     no competition                     no competition
37       2002            colin haughton             petra overzier             brian prevoe philippe bourett       lisa parker suzanne rayappan      kristian roebuck natalie munt
38       2003           hong seung - ki              lee eun - woo           hwang ji - man jung hoong - min        lee eun - woo ha jung - eun       hwang ji - man lee eun - woo
39       2004             aamir ghaffar                 julia mann               paul trueman ian palethorpe       lisa parker suzanne rayappan       kristian roebuck lisa parker
40       2005                  hariawan              lee yun - hwa          han sung - wook kang kyung - jin      jun woul - sik ra kyung - min     han sung - wook hee joo - hyun
41       2006                toby honey                    eva lee                 william milroy mike beres       mesinee mangkalakiri eva lee                howard bach eva lee
42       2007            lee tsuen seng              lee yun - hwa                 william milroy mike beres        hwang yu - mi ha jung - eun           william milroy tammy sun
43  2008 2009            no competition             no competition                            no competition                     no competition                     no competition
44       2010            taufik hidayat                    zhu lin           fang chieh - min lee sheng - mu  chien yu - chin cheng wen - hsing   lee sheng - mu cheng wen - hsing
45       2011             marc zwiebler         cheng shao - chieh             ko sung - hyun lee yong - dae                cheng shu bao yixin       michael fuchs birgit michels
46       2012          chou tien - chen             nozomi okuhara               takeshi kamura keigo sonoda   misaki matsutomo ayaka takahashi      ryota taohata ayaka takahashi
47       2013            tan chun seang           nichaon jindapon  maneepong jongjit nipitphon puangpuapech           yu xiaohan huang yaqiong          lee chun hei chau hoi wah
